"# Pittsburgh_10-15.pdf — Preschool Teachers (Early Intervention Special Education), Level III Salary Schedules (June 2010 - September 2014)"
"# population: Preschool Teachers (Early Intervention Special Education), Level III (Master's Degree, Master's Equivalent, Bachelor's + 30 Credits) | is_teacher_schedule: True"
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,39210,39710,40210,40710,41210,41710,10220
2-,41110,41610,42110,42610,43110,43610,9560
3-,42800,43300,43800,44300,44800,45300,9120
4-,44100,44600,45100,45600,46100,46600,9190
5-,45500,46000,46500,47000,48430,49430,10220
6-,46930,48670,51790,52290,57940,58440,11510
7-,48170,51290,56940,57440,57940,58440,10270
8-,49420,51290,56940,57440,57940,58440,9020
9-,50790,56440,56940,57440,57940,58440,7650
10-,55940,56440,57440,57940,58440,58440,2500
