# Pittsburgh_10-15.pdf — Bachelors's Degree (June 2010 - September 2014)
# population: Bachelor's Degree teachers | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,37120,37620,38120,38620,39120,39620,9870
2-,38850,39350,39850,40350,40850,41350,9450
3-,40300,40800,41300,41800,42300,42800,9350
4-,41620,42120,42620,43120,43620,44120,9510
5-,43070,44990,46800,48650,50630,45570,40230
6-,44490,46300,48150,50130,52790,46990,38810
7-,45800,47650,49630,51800,53700,48300,37500
8-,47150,49130,51590,53750,55300,49650,36150
9-,48630,50780,53350,55550,57300,51130,34670
10a,62875,63775,64675,64675,65575,66475,
10b,77300,78800,80300,80300,81800,83300,
10-,75800,77300,78800,80300,81800,83300,7500
