document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,PROFESSIONAL AGREEMENT between THE BOARD OF EDUCATION OF GRANITE SCHOOL DISTRICT and THE GRANITE EDUCATION ASSOCIATION INCORPORATED,1,high,Updated evidence to document title on cover page for direct confirmation of document type.
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,2020-2023,"Covering the Period July 1, 2020 through June 30, 2023",1,high,"Updated evidence to the explicit date range on the cover page, as the original quote only referenced a specific policy change year."
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Teachers (Elementary and Secondary),"The appropriate unit for purposes of negotiating terms and conditions of employment is comprised of all teachers, as herein defined, employed by Granite School District.",6,high,"Updated evidence to Article 4.2, which explicitly defines the bargaining unit as all teachers."
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,This Agreement shall be a part of each individual teacher's contract.,5,high,"Updated evidence to Article 2.2, which explicitly states the agreement forms part of each teacher's contract."
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,,not_applicable,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,Utah Administrative Code 53G,16,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"The Board, the Association, all teachers covered by this Agreement, and all provisions of this Agreement are subject to the laws and Constitution of the State of Utah and of the United States, and to the regulations and orders of state and federal governmental agencies. | Pursuant to state law, the Board may enter into individual employment contracts without violating this Agreement. | Except as otherwise specifically provided in this Agreement, the Board retains and reserves unto itself the sole and exclusive right to the executive management and administrative control of the school system, along with all other rights, powers, authority, duties, and responsibilities conferred upon and vested in it by the laws and Constitution of the State of Utah and the United States, including, but not limited to, the following rights and responsibilities: | ...nothing in this Agreement shall be so construed as to deprive any individuals of their rights under the Utah Right to Work Law. | Such non-renewals shall not be considered a violation of this Agreement, and the teachers involved shall not be entitled to a formal hearing under Utah Administrative Code 53G. | Any discontinuance or curtailment of funds by the program's funding agency shall constitute the discontinuance of a particular service (i.e. program) within the meaning of Section. https://le.utah.gov/xcode/Title53G/Chapter11/53G-11-P5.html?v=C53G-11-P5_2018012420180124. | Teachers will be evaluated under the provisions of the Utah Administrative code 53G. | Teachers may be suspended or dismissed for cause under the provisions of the Utah Administrative Code 53G.","The Board, the Association, all teachers covered by this Agreement, and all provisions of this Agreement are subject to the laws and Constitution of the State of Utah and of the United States, and to the regulations and orders of state and federal governmental agencies. | Pursuant to state law, the Board may enter into individual employment contracts without violating this Agreement. | Except as otherwise specifically provided in this Agreement, the Board retains and reserves unto itself the sole and exclusive right to the executive management and administrative control of the school system, along with all other rights, powers, authority, duties, and responsibilities conferred upon and vested in it by the laws and Constitution of the State of Utah and the United States, including, but not limited to, the following rights and responsibilities: | ...nothing in this Agreement shall be so construed as to deprive any individuals of their rights under the Utah Right to Work Law. | Such non-renewals shall not be considered a violation of this Agreement, and the teachers involved shall not be entitled to a formal hearing under Utah Administrative Code 53G. | Any discontinuance or curtailment of funds by the program's funding agency shall constitute the discontinuance of a particular service (i.e. program) within the meaning of Section. https://le.utah.gov/xcode/Title53G/Chapter11/53G-11-P5.html?v=C53G-11-P5_2018012420180124. | Teachers will be evaluated under the provisions of the Utah Administrative code 53G. | Teachers may be suspended or dismissed for cause under the provisions of the Utah Administrative Code 53G.","3, 5, 6, 16, 24, 36",high,Added missing citations from Articles 14.1 (p.24) and 19.1 (p.36) referencing Utah Administrative Code 53G to ensure completeness.
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","Contract teachers returning from military leave shall be granted credit on the salary schedule in accordance with the Uniformed Services Employment and Reemployment Rights Act, USERRA.","Contract teachers returning from military leave shall be granted credit on the salary schedule in accordance with the Uniformed Services Employment and Reemployment Rights Act, USERRA.",13,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,"Uniformed Services Employment and Reemployment Rights Act, USERRA","Uniformed Services Employment and Reemployment Rights Act, USERRA",13,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,"Yes. Schedule Title: Salary Schedule. Covered Year: July 1, 2020 through June 30, 2023. Covered Employee Group: Professional employees of the District paid on the teacher salary schedule. Appendix/Page: Appendix A, page 49.","Appendix A Salary Schedule 49; Cover: Covering the Period July 1, 2020 through June 30, 2023; 1.1: 'Teacher shall mean all professional employees of the District who are paid on the teacher salary schedule'","1, 2",high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,"The salary schedule covers the agreement period of July 1, 2020 through June 30, 2023.","Cover: Covering the Period July 1, 2020 through June 30, 2023",1,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,Yes. Continuing teachers receive a one-step salary increment at the beginning of each contract year for each year of successful teaching until reaching the maximum step of their lane. Eligibility requires successfully completing at least one-half year (.50 FTE) of contract teaching during the previous school year.,7.2.1.3: 'Continuing teachers shall receive a one-step salary increment on the salary schedule for each year of successful teaching in the District until they reach the maximum step of their salary lane. Such salary increments shall be given at the beginning of each contract year by moving forward one step on the salary schedule all continuing contract teachers who successfully completed at least one-half year (.50 FTE) of contract teaching during the previous school year.',13,high,
