# 2023-2027-HSTA-CBA-FINAL_07_20_2023.pdf — EXHIBIT B TEACHER'S ANNUAL RATE SALARY SCHEDULE (10-MONTH) (2023-2024 School Year)
# population: certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,CLASS II TEACHER,CLASS III TEACHER,CLASS IV TEACHER,CLASS V TEACHER,CLASS VI TEACHER,CLASS VII TEACHER
14B,73843,79750,82940,86257,89708,95090
14A,69663,75235,78246,81375,84631,89707
14,67633,73044,75967,79005,82164,87096
13,65663,70916,73754,76703,79771,84558
12,63751,68852,71607,74471,77448,82096
11,61895,66847,69520,72300,75191,79702
10,60090,64900,67494,70194,73000,77383
9,58342,63009,65530,68151,70877,75130
8,56643,61173,63618,66165,68811,72941
7,54993,59392,61768,64238,66807,70816
6,53391,57661,59969,62368,64861,68753
5,51835,55982,58222,60549,62973,66750
(ENTRY LEVEL) 4,50325,54351,56526,58785,61139,64806
