document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,collective bargaining agreement,Document title/file identify it as collective bargaining agreement.,1,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2020 through June 30, 2023","Metadata/title states: July 1, 2020 through June 30, 2023.",1,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,teachers,Document covers teachers.,1,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding collective bargaining agreement,binding collective bargaining agreement,1,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,text_status=usable; pages=61,document,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,Utah Code 53G-11-5 School District and Utah Schools for the Deaf and Blind Employee,57,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_state_law_citations_007,document metadata,Which state laws or statutes are cited?,Utah Code 53G-11-5 School District and Utah Schools for the Deaf and Blind Employee,Utah Code 53G-11-5 School District and Utah Schools for the Deaf and Blind Employee,57,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_cites_federal_law_008,document metadata,"Does the document cite any federal laws, statutes, or regulations?",yes,USERRA,13,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,USERRA,USERRA,13,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,"Appendix A is titled 'Salary Schedule,' but the table content is not text-extracted.",49,medium,Schedule appears included; details need visual review.
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,2020-2023,"Agreement covers July 1, 2020 through June 30, 2023.",1,high,
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,pay_salary_steps_003,compensation,How many salary steps are listed on the main teacher salary schedule?,discussed_unclear,"Salary schedule is referenced/included, but schedule values are not reliably text-extracted.",Appendix A,low,Visual review needed for salary table.
granite_school_district__professional_agreement_with_gea_2020_2023__7844d12c,professional_agreement_with_gea_2020_2023.pdf,pay_salary_lanes_004,compensation,How many education lanes are listed on the main teacher salary schedule?,discussed_unclear,"Salary schedule is referenced/included, but schedule values are not reliably text-extracted.",Appendix A,low,Visual review needed for salary table.
