# Pittsburgh_10-15.pdf — Counselors Salary Schedule (2010-2014)
# population: Counselors | is_teacher_schedule: False
# validation_warnings: none | audit corrected this table
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,40010,40510,41010,41510,42010,,42010
2-,39510,41910,44100,46400,48700,,43910
3-,41410,43600,45400,47300,49200,,45600
4-,43300,44900,46800,48730,50470,,46900
5-,44400,46300,48230,49970,51720,,48300
6-,45800,47730,49470,51220,53090,,49670
7-,47230,48970,50720,52590,54455,,50730
8-,48470,50220,52090,54045,56040,,51970
9-,49720,51590,53145,54900,56700,,53000
10-,51090,53245,54800,56200,58100,,53800
11-,80100,81900,83700,85500,87600,,84000
12-,80400,82200,84000,86100,87600,,87000
13-,80700,82500,84600,86100,87600,,87600
14-,81000,83100,84600,86100,87600,,87600
15-,81600,83100,84600,86100,87600,,89100
