"# Pittsburgh_10-15.pdf — Preschool Teachers (Early Childhood), Level II Salary Schedules (September 2014)"
"# population: Preschool Teachers (Early Childhood), Level II, Master's Degree, Bachelor's Equivalent, Bachelor's + 30 Credits | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,33690,34190,34690,35190,35690,36190,15580
2-,36780,37280,37780,38280,38780,39280,13940
3-,39870,40370,40870,41370,41870,42370,12290
4-,44100,44600,45100,45600,46100,46600,9510
5-,45440,45940,46440,46940,47440,47940,11970
6-,46770,47270,47770,48270,48770,49270,10640
7-,48220,48720,49220,49720,50220,50720,9190
8-,49660,50160,50660,51160,51660,52160,7750
9-,51110,51610,52110,52610,53110,53610,6300
10-,54910,55410,55910,56410,56910,57410,2500
