document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,Subject: 8DA – Davis Educators’ Agreement – 2019-2020,1,high,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,discussed_unclear,"The terms of this agreement are effective as of July 1,2019.",3,medium,"Evidence only explicitly states the start date (July 1, 2019). The end date and full 2019-2020 term were inferred from context rather than explicitly quoted in the supporting text."
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Davis Education Association (licensed personnel/teachers),the Board recognizes the Davis Education Association (“the Association”) as the exclusive representative of the licensed personnel except as herein provided.,2,high,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Binding agreement,This Agreement shall be deemed to be a part of each individual teacher's contract by reference thereof.,3,high,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,not_discussed,,not_applicable,low,"No actual supporting evidence was quoted for this usability assessment. Per audit rules, changed from 'usable' to 'not_discussed'."
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"under Title 34, Utah Code Annotated, 1953",2,high,
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"""The Board and the Association understand that the Board has certain powers and responsibilities that under the Constitution and Laws of the State of Utah may not be delegated to another group or organization.""
""Nothing in this Agreement shall be so construed as to deprive any individual of his/her rights under the Utah Right to Work Law nor his/her rights as set forth in Title VII of the Civil Rights Act or under Title 34, Utah Code Annotated, 1953, or amendments thereto.""
""The portion of the President’s time paid for by the District shall be subject to the provisions of Board policy as stipulated by Section 63G-11-206 of the Utah State Code.""
""TSSA (2019 SB149) Teacher and Student Success Act) pay is dependent upon continued legislative funding.""
""Employees must receive a satisfactory rating or above on their most recent evaluation to qualify per Utah Code §53F-2-405.""
""Benefits of this retirement incentive program are not intended to be combined or coordinated with the early retirement provisions outlined in Utah Code Ann. § 67-19-14.""
""The review shall be conducted in accordance with Utah Code Ann. §53G-11-508.""","""The Board and the Association understand that the Board has certain powers and responsibilities that under the Constitution and Laws of the State of Utah may not be delegated to another group or organization.""",2,medium,"Provided evidence excerpt only explicitly supports the first citation (Utah Constitution/Laws). The answer lists multiple additional state statutes not visible in the quoted evidence. Confidence reduced to medium due to truncated evidence field, though answer structure appears accurate."
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","""Nothing in this Agreement shall be so construed as to deprive any individual of his/her rights under the Utah Right to Work Law nor his/her rights as set forth in Title VII of the Civil Rights Act or under Title 34, Utah Code Annotated, 1953, or amendments thereto.""
""The District shall comply with COBRA legislation requiring covered employers to offer eligible employees and their families the opportunity to apply for a temporary extension of health insurance coverage when coverage under the employer's plan would otherwise terminate.""
""In the event of a “qualifying exigency” arising out of a military service member’s current tour of active duty or because the service member is notified of an impending call to active duty, an employee who is the spouse, parent, or child (as defined by the Family & Medical Leave Act) of the service member may request in writing to the Superintendent a leave of absence of up to twelve (12) calendar weeks.""
""In the event a “covered service member” (as defined by the Family & Medical Leave Act) who sustained a “serious injury or illness” (as defined by the Family & Medical Leave Act) requires the care of an employee that is the spouse, parent, child or nearest blood relative of the service member, the employee may request in writing to the Superintendent a leave of absence of up to twenty-six (26) calendar weeks.""
""In accordance with the Americans with Disabilities Act, the District may transfer or reassign a qualified individual with a disability to a vacant position as a reasonable accommodation for the individual.""","""The District shall comply with COBRA legislation requiring covered employers to offer eligible employees and their families the opportunity to apply for a temporary extension of health insurance coverage when coverage under the employer's plan would otherwise terminate.""",20,medium,"Provided evidence excerpt only explicitly supports the COBRA citation. The answer lists multiple additional federal laws (Title VII, FMLA, ADA) not visible in the quoted evidence. Confidence reduced to medium due to truncated evidence field."
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Title VII of the Civil Rights Act; COBRA legislation; Family & Medical Leave Act; Americans with Disabilities Act,"""The District shall comply with COBRA legislation requiring covered employers to offer eligible employees and their families the opportunity to apply for a temporary extension of health insurance coverage when coverage under the employer's plan would otherwise terminate.""",20,medium,"Provided evidence excerpt only explicitly confirms COBRA legislation. The answer lists three additional federal laws (Title VII, FMLA, ADA) not present in the quoted evidence. Confidence reduced to medium due to truncated evidence field; answer likely accurate based on full document but unverified by provided excerpt."
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,not_discussed,,not_applicable,low,Evidence field was empty. Answer correctly reflects not_discussed per audit guidelines.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,not_discussed,,not_applicable,low,Evidence field was empty. Answer correctly reflects not_discussed per audit guidelines.
davis_school_district__davis_2019_2020__cc60f6a3,Davis_2019-2020.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,not_discussed,,not_applicable,low,Evidence field was empty. Answer correctly reflects not_discussed per audit guidelines.
