document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,employee handbook,2016-2017 EMPLOYEE HANDBOOK For All Employees,1,high,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,2016-2017,2016-2017 EMPLOYEE HANDBOOK,1,high,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,All employees,For All Employees,1,high,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",not a contract,I understand that no modifications to contractual relationships or alteration of at-will relationships are intended by this Handbook.,2,high,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,"Full text extraction with clear paragraphs, consistent formatting, and page numbers (41-56) without image-only blocks or significant OCR errors.",not_applicable,high,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,"The rights and obligations of all employees are governed by the laws of the State of Texas, rules of the State Board of Education",4,high,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"The rights and obligations of all employees are governed by the laws of the State of Texas, rules of the State Board of Education and policies of the Cypress-Fairbanks ISD Board of Trustees.","The rights and obligations of all employees are governed by the laws of the State of Texas, rules of the State Board of Education and policies of the Cypress-Fairbanks ISD Board of Trustees.",4,high,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","Professional staff (exempt personnel in accordance with the Fair Labor Standards Act) such as central office administrators, directors, coordinators, supervisors, and special education support staff are expected to report for duty for at least eight hours each day, excluding a lunch break. Paraprofessional support staff (non-exempt personnel in accordance with the Fair Labor Standards Act) are expected to report for duty for eight hours each day, excluding a non-paid lunch break. Professional campus staff (exempt personnel in accordance with the Fair Labor Standards Act) such as campus principals, associate principals, assistant principals, directors of instruction, counselors, campus athletic coordinators, and diagnosticians are expected to report for duty for at least eight hours each day excluding a 30-minute lunch break. Non-instructional paraprofessional support staff (non-exempt personnel in accordance with the Fair Labor Standards Act) such as secretaries and technical assistants are expected to report for duty for eight hours each day, excluding a 30-minute non-paid lunch break. Professional campus staff (exempt personnel in accordance with the Fair Labor Standards Act) such as teachers, nurses, media specialists, and athletic trainers are expected to report for duty for at least eight hours each day including a 30-minute lunch break. As professional employees exempt from the overtime provisions of the Fair Labor Standards Act, teachers do not work specific “hours,” and may be expected to perform work outside the normal “teacher hours” as necessary. Instructional paraprofessional support staff (non-exempt personnel in accordance with the Fair Labor Standards Act) such as clinic assistants and instructional aides are expected to report for duty for eight hours each day, which includes a 30-minute non-paid lunch break.","Professional staff (exempt personnel in accordance with the Fair Labor Standards Act) such as central office administrators, directors, coordinators, supervisors, and special education support staff are expected to report for duty for at least eight hours each day, excluding a lunch break.",11,high,"Appended document text is truncated after page 10. Page 11 was not included in the provided text, but Stage 1 provided verbatim quotes that explicitly cite the Fair Labor Standards Act and directly answer the question. Retained as high confidence per instructions."
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Fair Labor Standards Act,Fair Labor Standards Act,11,high,Appended document text is truncated after page 10. Confirmed via Stage 1 evidence quote.
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,not_discussed,,not_discussed,high,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,not_discussed,,not_discussed,high,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,"A creditable year for salary placement or receiving a salary general rate increase is a minimum of ninety (90) days of full-time service or 180 days of half-time service. Substitute Credit: Beginning with the 1998-1999 school year, experience as a substitute teacher is recognized for salary increment purposes...",43,high,Stage 1 incorrectly coded as not_discussed. The document explicitly outlines the service day requirements for receiving a salary general rate increase or increment (90 days full-time/180 half-time) and mentions substitute teacher credit for salary increments. [cross-question]
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,"Salary credit for experience earned in Texas or in out-of-state institutions will not be granted until the service records are received and verified. A creditable year for salary placement or receiving a salary general rate increase is a minimum of ninety (90) days of full-time service or 180 days of half-time service. Substitute Credit: Beginning with the 1998-1999 school year, experience as a substitute teacher is recognized for salary increment purposes, as long as the person held a valid teaching certificate at the time the service was rendered.",42,high,
cypress_fairbanks_independent_school_district__cyfair_employee_handbook_16_17__f9a74d14,CyFair_Employee_Handbook_16-17.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",not_discussed,,not_discussed,high,
