"# 14-05.pdf — Salary Schedule (July 1, 2006 - June 30, 2007)"
# population: Certified Teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['01', '02'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Prov,BA(a),BA+30(b),BA+45,MA+30(b),"MA+60(b,c)",DR & MA (b)
01,40534,45552,47691,49931,52278,54735,55280
02,40534,45552,47691,49931,52278,54735,55280
03,41729,46893,49098,51406,53820,56351,56914
04,42961,48277,50546,52920,55411,58011,58591
05,44227,49702,52037,54481,57043,59724,60320
06,45531,51164,53573,56089,58727,61485,62101
07,46875,52676,55153,57745,6057,63300,63930
08,48258,54228,56780,59446,62242,65167,65817
09,49682,55830,58457,61201,64079,67088,67758
10,51148,57476,60180,63007,65968,69066,69758
11,52656,59170,61955,64865,67914,71102,71814
12,54210,60918,63783,66778,69917,73202,73934
13,54210,60918,65666,68749,71981,75360,76113
14,54210,60918,67603,70779,74103,77581,78358
15,54210,60918,69596,72866,76290,79872,80672
16,54210,60918,71651,75016,78540,82229,83053
17,54210,60918,73763,77228,80855,84655,85503
18,54210,60918,75938,79506,83241,87153,88023
19,54210,60918,78180,81850,85696,89724,90621
20,54210,60918,80485,84269,88226,92370,93295
