# Baltimore_City_2016-2019.pdf — 2016-17 BTU Career Pathway Salary Schedule (2016-17)
# population: Clinician | is_teacher_schedule: False
# validation_warnings: label_not_in_source: 'Standard (BTU.220)' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Professional (BTU.221)' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Model (BTU.222)' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit confirmed
step,Standard (BTU.220),Professional (BTU.221),Model (BTU.222)
1,50650,62724,90579
2,52103,65364,92132
3,53599,68004,93686
4,55141,70644,95239
5,56728,73286,96791
6,,76133,
7,,79083,
8,,80636,
9,,81677,
10,,82717,
11,,83757,
12,,84799,
13,,85839,
14,,86879,
15,,87921,
