# P25 | Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf | page 328
# title: PAY SCALE GROUP PAY SCALE LEVEL
# cells: 484 | previously shown: 184 | vision_agreement: 0.903
step,1,2 *,3,4,5,6,7,8,9,10
20 C Basis,41380.0,41380.0,41380.0,42099.0,44270.0,44731.0,46114.0,47665.0,49858.0,52073.0
,3448.31,3448.31,3448.31,3508.27,3689.13,3727.55,3842.8,3972.11,4154.83,4339.43
(Minimum) B Basis,44828.0,44828.0,44828.0,45608.0,47959.0,48458.0,49956.0,51637.0,54013.0,56413.0
,3735.67,3735.67,3735.67,3800.64,3996.55,4038.17,4163.04,4303.11,4501.08,4701.05
A Basis,52966.0,52966.0,52966.0,53887.0,56665.0,57255.0,59025.0,61012.0,63818.0,66654.0
,4413.83,4413.83,4413.83,4490.6,4722.09,4771.25,4918.78,5084.3,5318.19,5554.47
21 C Basis,41380.0,41380.0,41739.0,43381.0,45102.0,46777.0,48554.0,50308.0,52028.0,54356.0
,3448.31,3448.31,3478.29,3615.1,3758.47,3898.09,4046.14,4192.31,4335.69,4529.65
(+ 14 points) B Basis,44828.0,44828.0,45218.0,46996.0,48860.0,50675.0,52600.0,54500.0,56364.0,58886.0
,3735.67,3735.67,3768.15,3916.36,4071.67,4222.93,4383.32,4541.68,4696.99,4907.13
A Basis,52966.0,52966.0,53427.0,55528.0,57730.0,59875.0,62149.0,64394.0,66596.0,69575.0
,4413.83,4413.83,4452.22,4627.32,4810.84,4989.55,5179.05,5366.16,5549.68,5797.95
22 C Basis,41380.0,41739.0,43449.0,45383.0,47216.0,49150.0,50994.0,52973.0,54828.0,57178.0
,3448.31,3478.29,3620.72,3781.9,3934.63,4095.8,4249.48,4414.39,4569.01,4764.85
(+ 28 points) B Basis,44828.0,45218.0,47069.0,49165.0,51150.0,53245.0,55243.0,57387.0,59397.0,61943.0
,3735.67,3768.15,3922.45,4097.05,4262.51,4437.12,4603.6,4782.26,4949.76,5161.93
A Basis,52966.0,53427.0,55614.0,58090.0,60436.0,62912.0,65272.0,67805.0,70180.0,73188.0
,4413.83,4452.22,4634.52,4840.83,5036.32,5242.63,5439.32,5650.42,5848.34,6099.01
23 C Basis,41739.0,43415.0,45383.0,47350.0,49464.0,51500.0,53524.0,55525.0,57561.0,60214.0
,3478.29,3617.91,3781.9,3945.87,4122.04,4291.64,4460.31,4627.11,4796.71,5017.85
(+ 42 points) B Basis,45218.0,47033.0,49165.0,51296.0,53587.0,55791.0,57984.0,60152.0,62357.0,65232.0
,3768.15,3919.41,4097.05,4274.7,4465.55,4649.29,4832.01,5012.7,5196.44,5436.0
A Basis,53427.0,55571.0,58090.0,60609.0,63315.0,65920.0,68510.0,71072.0,73677.0,77074.0
,4452.22,4630.93,4840.83,5050.72,5276.21,5493.3,5709.19,5922.69,6139.79,6422.84
24 C Basis,43415.0,45079.0,47216.0,49464.0,51590.0,53805.0,55998.0,58123.0,60394.0,63149.0
,3617.91,3756.59,3934.63,4122.04,4299.14,4483.74,4666.46,4843.56,5032.84,5262.42
(+ 56 points) B Basis,47033.0,48836.0,51150.0,53587.0,55889.0,58289.0,60664.0,62966.0,65427.0,68411.0
,3919.41,4069.64,4262.51,4465.55,4657.4,4857.38,5055.34,5247.2,5452.25,5700.95
A Basis,55571.0,57701.0,60436.0,63315.0,66035.0,68870.0,71677.0,74397.0,77304.0,80831.0
,4630.93,4808.44,5036.32,5276.21,5502.89,5739.18,5973.06,6199.75,6442.04,6735.89
25 C Basis,44922.0,46811.0,49195.0,51500.0,53816.0,56166.0,58516.0,60788.0,63138.0,66140.0
,3743.48,3900.89,4099.56,4291.64,4484.68,4680.52,4876.35,5065.64,5261.48,5511.67
(+ 70 points) B Basis,48665.0,50712.0,53294.0,55791.0,58301.0,60847.0,63393.0,65853.0,68399.0,71652.0
,4055.43,4225.98,4441.18,4649.29,4858.4,5070.55,5282.72,5487.78,5699.94,5970.97
A Basis,57500.0,59918.0,62969.0,65920.0,68885.0,71893.0,74901.0,77808.0,80816.0,84659.0
,4791.64,4993.14,5247.42,5493.3,5740.38,5991.06,6241.74,6484.02,6734.7,7054.94
26 C Basis,46710.0,48554.0,51005.0,53524.0,55998.0,58528.0,60956.0,63396.0,65915.0,69086.0
,3892.46,4046.14,4250.42,4460.31,4666.46,4877.3,5079.69,5283.03,5492.93,5757.17
(+ 84 points) B Basis,50602.0,52600.0,55255.0,57984.0,60664.0,63405.0,66036.0,68679.0,71408.0,74843.0
,4216.84,4383.32,4604.61,4832.01,5055.34,5283.74,5503.0,5723.29,5950.68,6236.94
A Basis,59788.0,62149.0,65286.0,68510.0,71677.0,74915.0,78024.0,81147.0,84371.0,88430.0
,4982.35,5179.05,5440.53,5709.19,5973.06,6242.93,6502.01,6762.28,7030.95,7369.18
27 C Basis,48070.0,50308.0,52973.0,55525.0,58145.0,60821.0,63408.0,66050.0,68670.0,72133.0
,4005.85,4192.31,4414.39,4627.11,4845.43,5068.45,5283.97,5504.17,5722.51,6011.12
(+ 98 points) B Basis,52076.0,54500.0,57387.0,60152.0,62991.0,65890.0,68692.0,71554.0,74393.0,78144.0
,4339.66,4541.68,4782.26,5012.7,5249.22,5490.83,5724.3,5962.86,6199.38,6512.04
A Basis,61530.0,64394.0,67805.0,71072.0,74426.0,77851.0,81162.0,84544.0,87898.0,92331.0
,5127.48,5366.16,5650.42,5922.69,6202.15,6487.61,6763.47,7045.33,7324.81,7694.22
(continued) C Basis,72471.0,72786.0,73100.0,73426.0
