# Fort_Wayne_Community_Schools_2021-2023.pdf — APPENDIX A - Salary Schedule (2020-21 through 2022-23)
# population: certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,2020-21 Bachelors,2020-21 Masters,2021-22 Bachelors,2021-22 Masters,2022-23 Bachelors,2022-23 Masters
A,40679,40946,42306,42584,43998,44287
B,41854,42121,43528,43806,45269,45558
C,43029,43296,44750,45028,46540,46829
D,44204,44471,45972,46250,47811,48100
E,45379,45646,47194,47472,49082,49371
F,46554,46821,48416,48694,50353,50642
G,47729,47996,49638,49916,51624,51912
H,48904,49171,50860,51138,52895,53183
I,50079,50346,52082,52360,54165,54454
J,51254,51521,53304,53582,55436,55725
K,52429,52696,54526,54804,56707,56996
L,53604,53871,55748,56026,57978,58267
M,54779,55046,56970,57248,59249,59538
N,55954,56221,58192,58470,60520,60809
O,57129,57396,59414,59692,61791,62080
P,58304,58571,60636,60914,63062,63350
Q,59479,59746,61858,62136,64332,64621
R,60654,60921,63080,63358,65603,65892
S,61829,62096,64302,64580,66874,67163
T,63004,63271,65524,65802,68145,68434
U,,64446,,67024,,69705
V,,65621,,68246,,70976
W,,66796,,69468,,72247
X,,67971,,70690,,73517
Y,,69146,,71912,,74788
Z,,70321,,73134,,76059
AA,,71496,,74356,,77330
