# Cleveland_Teachers_Union_Contract_2021-2024.pdf — ATTENDANCE SPECIALIST AND ATTENDANCE LIAISONS (2021-2024)
# population: Attendance Specialist and Attendance Liaisons | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,2021-2022,2022-2023,2023-2024
1 year / 1-4 years,31615,32563,33215
1 year / 5-11 years,32685,33666,34339
1 year / 12-14 years,32839,33825,34501
1 year / 15-16 years,32994,33984,34663
1 year / 16+ years,33158,34152,34836
2 years / 2-4 years,33240,34237,34922
2 years / 5-11 years,34365,35396,36104
2 years / 12-14 years,34528,35563,36275
2 years / 15-16 years,34688,35729,36444
2 years / 16+ years,34848,35893,36611
3 years / 3-4 years,34555,35592,36304
3 years / 5-11 years,35722,36794,37530
3 years / 12-14 years,35893,36970,37710
3 years / 15-16 years,36063,37145,37888
3 years / 16+ years,36230,37317,38064
4 years / 4 years,36230,37317,38064
4 years / 5-11 years,37456,38580,39351
4 years / 12-14 years,37634,38763,39538
4 years / 15-16 years,37807,38941,39720
