"# MCEA-Contract-FY15-FY17-3-15-14.pdf — 10-Month Salary Schedule (March 3, 2017)"
# population: 10-month teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,BA,MA/MEQ,MA/MEQ+30,MA/MEQ+60
1,49009,53991,55578,57014
2,49764,54898,57236,58674
3,51256,57011,59438,60933
4,52795,59206,61728,63278
5,54378,61486,64104,65714
6,56473,63852,66572,68244
7,58647,66311,69136,70873
8,60904,68864,71798,73600
9,63249,71516,74561,76435
10,65685,74269,77432,79377
11,66998,77129,80413,82433
12,68338,80098,83508,85606
13,,83182,86723,88902
14,,86383,90061,92324
15,,88975,92764,95094
16,,91645,95547,97948
17,,94394,98413,100886
18,,97225,101366,103913
19,,100143,104407,107030
20,,100143,104407,107030
21,,100143,104407,107030
22,,100143,104407,107030
23,,102146,106495,109171
24,,104445,108892,111627
25,,106534,111070,113859
