# ATF-Negotiated-Agreement_2018-19.pdf — Appendix A.3 2018-2019 Salary Matrix AT-3 (2018-2019)
"# population: Licensure Level 3 Teachers & Librarians and Career Pathway Level 3 Counselors, Nurses, Social Workers & Interpreters | is_teacher_schedule: True"
"# validation_warnings: possible_dropped_row: step sequence 1-50 is missing step(s) [33, 34, 35, 36, 37, 38, 39, 40, 41] — a row may have been lost; verify against source | audit corrected this table"
step,MA or NBC,MA+15,MA+45,Doctorate
1,54000,54150,54300,54875
2,54001,54151,54350,54876
3,54002,54152,54400,54877
4,54003,54153,54450,54878
5,54004,54154,54500,54879
6,54005,54155,54575,55914
7,54006,54156,55140,55915
8,54007,54157,55141,56215
9,54008,54158,55142,56216
10,54009,54159,55143,56217
11,54010,54160,55144,56218
12,54011,54161,55145,56219
13,54012,54162,55146,56220
14,54013,54163,55147,56221
15,54014,54164,55148,56222
16,54015,54165,55149,56223
17,54950,55500,56049,56598
18,54951,55501,56050,56599
19,54952,55502,56051,56600
20,54953,55503,56052,56601
21,54955,55504,56053,56602
22,54956,55505,56054,56603
23,54957,55506,56056,56608
24,54958,55507,56057,56609
25,54959,55509,56058,56610
26,54960,55510,56059,56611
27,54961,55825,56594,56612
28,54962,55826,56595,57692
29,54963,55827,56596,57693
30,54964,56372,56597,57694
31,54965,56373,57142,57695
32,54966,,,
42,63655,64382,67457,67477
43,63656,65382,68767,68787
44,64956,66977,68768,68788
45,66256,67977,70073,70093
46,67556,68287,70074,70094
47,68856,69637,74339,74359
48,70156,71087,74340,74360
49,71456,72487,74341,74361
50,72756,73887,74841,74861
