document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__d1f7af4d,MCEA-Contract-FY15-FY17-3-15-14.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Code CBA,CONTRACT Agreement between Montgomery County Education Association And Board of Education of Montgomery County Rockville Maryland for the School Years 2015-2017,1,high,
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__d1f7af4d,MCEA-Contract-FY15-FY17-3-15-14.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,2015-2017 (School Years / FY2015-FY2017),School Years 2015-2017,1,high,
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__d1f7af4d,MCEA-Contract-FY15-FY17-3-15-14.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Teachers (MCEA unit members), plus separate contracts for Substitute and Home & Hospital Teachers",The Board recognizes the Association for purposes of negotiation as the exclusive negotiating agent for all unit members... Substitute Teachers' Contract: ... Home & Hospital Teachers’ Contract:,1,high,
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__d1f7af4d,MCEA-Contract-FY15-FY17-3-15-14.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,this Agreement represents the full Agreement between said parties to date on all matters negotiated... and that this Agreement shall be given full force and effect by said parties for the entire term thereof.,1,high,
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__d1f7af4d,MCEA-Contract-FY15-FY17-3-15-14.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,"Text is fully legible, properly formatted, and contains clear headings, page numbers, and extractable content throughout the section.",not_applicable,high,
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__d1f7af4d,MCEA-Contract-FY15-FY17-3-15-14.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,Section 6-408 of the Education Article of the Annotated Code of Maryland,1,high,
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__d1f7af4d,MCEA-Contract-FY15-FY17-3-15-14.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"""Except for Section F, the rights and/or privileges granted to the Association in this Agreement will not be granted to any other unit member group or employee organization as defined in Section 6-401(b) of the Education Article of the Annotated Code of Maryland during the term of this Agreement, except as may be required by law."" ""Should either party determine an impasse exists, the procedures as provided for in Section 6-408 of the Education Article of the Annotated Code of Maryland relating to impasse shall be followed."" ""It is agreed and understood by the parties hereto that this Agreement represents the full Agreement between said parties to date on all matters negotiated in accordance with Section 6-408 of the Education Article of the Annotated Code of Maryland and that this Agreement shall be given full force and effect by said parties for the entire term thereof.""",Section 6-401(b) of the Education Article of the Annotated Code of Maryland; Section 6-408 of the Education Article of the Annotated Code of Maryland,"6, 7",high,
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__d1f7af4d,MCEA-Contract-FY15-FY17-3-15-14.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","The No Child Left Behind Act of 2001, approved in January 2002, requires schools to demonstrate adequate yearly progress in achieving state standards for the school as a whole and for designated categories of students. The No Child Left Behind Act of 2001 significantly changes the role of the federal government in education.","The No Child Left Behind Act of 2001, approved in January 2002, requires schools to demonstrate adequate yearly progress in achieving state standards for the school as a whole and for designated categories of students.",28,high,Document text truncated before page 28; retained Stage 1 answer as verbatim evidence was provided and explicitly supports the query.
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__d1f7af4d,MCEA-Contract-FY15-FY17-3-15-14.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,No Child Left Behind Act of 2001,The No Child Left Behind Act of 2001,28,high,Consistent with meta_cites_federal_law_008; document text truncated.
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__d1f7af4d,MCEA-Contract-FY15-FY17-3-15-14.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,The salary schedule effective July 1 2014 is:,75-79,high,
