# Cleveland_Teachers_Union_Contract_2021-2024.pdf — Differential Listings / All Extracurricular Activities (2021-2024)
# population: Senior High Extracurricular Activities/Staff | is_teacher_schedule: False
"# validation_warnings: label_not_in_source: 'Effective July 1, 2021' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Effective July 1, 2022' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Effective July 1, 2023' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Payment Quarter' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit corrected this table"
step,"Effective July 1, 2021","Effective July 1, 2022","Effective July 1, 2023",Payment Quarter
"840110 Athletic Director, Sr",5980,,,"1, 2, 4"
"840140 Coach, Baseball, Sr",,,,4
"840150 Coach, Basketball, Boys, Sr",,,,2
"840490 Coach, Basketball, Girls, Sr",,,,2
"840280 Coach, Bowling, Sr",,,,1
"840160 Coach, Cross Country, Boys, Sr",1693,,,1
"840500 Coach, Cross Country, Girls, Sr",1693,,,1
"840540 Coach, Fencing, Sr",,,,3
"840170 Coach, Football, Sr",3983,,,1
"840180 Coach, Golf, Sr",1693,,,1
"840530 Coach, Gymnastics, Sr.",,,,N/A
"840720 Coach, Soccer, Sr",1693,,,1
"840480 Coach, Softball, Girls, Sr",,,,4
"840800 Coach, Swimming",,,,2
"840190 Coach, Tennis, Boys, Sr",,,,4
"840200 Coach, Tennis, Girls, Sr",1693,,,1
"840210 Coach, Track, Boys, Sr",,,,4
"840510 Coach, Track, Girls, Sr",,,,4
"840460 Coach, Track, Outdoor Only, Boys, Sr",,,,4
"840740 Coach, Track, Outdoor Only, Girls, Sr",,,,4
"840520 Coach, Volleyball, Girls, Sr",3983,,,1
"840220 Coach, Wrestling, Sr",,,,2
"840230 Asst Coach, Baseball, Sr",,,,4
"840240 Asst Coach, Basketball, Boys, Sr",,,,2
"840750 Asst Coach, Basketball, Girls, Sr",,,,2
"840560 Asst Coach, Cross Country, Boys, Sr",1412,,,1
"840820 Asst Coach, Cross Country, Girls, Sr",1412,,,1
"840250 Asst Coach, Football, Sr",2273,,,1
"840580 Asst Coach, Gymnastics, Sr.",,,,N/A
"840810 Asst Coach, Soccer, Sr",1412,,,1
"840550 Asst Coach, Softball, Girls, Sr",,,,4
"840470 Asst Coach, Swimming",,,,2
"840260 Asst Coach, Track, Boys, Sr",,,,4
"840760 Asst Coach, Track, Girls, Sr",,,,4
"840570 Asst Coach, Track, Outdoor Only, Boys, Sr",,,,4
"840790 Asst Coach, Track, Outdoor Only, Girls, Sr",,,,4
"840100 Asst Coach, Volleyball, Sr",2273,,,1
"840270 Asst Coach, Wrestling, Sr",,,,2
"840120 Intramural Director, Boys, Sr",1597,1644,1677,"1, 2, 3, 4"
"840130 Intramural Director, Girls, Sr",1597,1644,1677,"1, 2, 3, 4"
"840290 Band Director, Sr",2392,2463,2513,"1, 2, 3, 4"
"840700 Orchestra Director, Sr",1195,1231,1255,"1, 2, 3, 4"
"840350 Vocal Music Director, Sr",1792,1846,1883,"1, 2, 3, 4"
"840300 Drill Team, Sr (Minimum 12 Students)",1739,1791,1827,"1, 2, 3, 4"
"840780 Highsteppers, Sr (Minimum 12 Students) Sponsor, Sr",1739,1791,1827,"1, 2, 3, 4"
"840310 Cheerleader Sponsor, Sr",1739,1791,1827,"1, 2, 3, 4"
"840320 Dramatics Director, Sr",2392,2463,2513,"1, 2, 3, 4"
"840330 Newspaper Advisor, Sr",2793,2877,2935,"1, 2, 3, 4"
"840340 Year Book Advisor, Sr",2631,2710,2764,"1, 2, 3, 4"
"840960 Majorettes, Sr (Minimum 7 Students)",869,895,913,"1, 2, 3, 4"
"840970 Flag Squad, Sr (Minimum 7 Students)",869,895,913,"1, 2, 3, 4"
840900 Testing Coordinator Student Council Advisor,3640,3749,3824,"1, 2, 3, 4"
