"# 39-05.pdf — The 2005-2006 TRANSITION SALARY SCHEDULE for Occupational Therapists, Physical Therapists, and Audiologists employed prior to the 1997-98 school year shall be: (2005-2006)"
"# population: Occupational Therapists, Physical Therapists, and Audiologists | is_teacher_schedule: False"
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,BA,BA+15,BA+30,MA,MA+15
1 0.0,30876,32165,33453,36027,37046
1 0.5,31563,32851,34140,36711,37732
2 0.0,32247,33536,34824,37399,38417
2 0.5,32933,34221,35511,38084,39102
3 0.0,33617,34907,36195,38769,39787
3 0.5,34305,35594,36882,39456,40475
4 0.0,34991,36280,37567,40141,41159
4 0.5,35677,36964,38254,40829,41847
5 0.0,36363,37650,38940,41514,42534
5 0.5,37048,38336,39626,42200,43218
6 0.0,37734,39021,40310,42884,43903
6 0.5,38420,39708,40997,43570,44589
7 0.0,39105,40392,41684,44254,45275
7 0.5,39791,41079,42368,44942,45961
8 0.0,40477,41765,43054,45626,46647
8 0.5,41039,42343,43648,46314,47332
9 0.0,41598,42921,44245,46999,48018
9 0.5,,,,47685,48707
10 0.0,,,,48372,49391
10 0.5,,,,49040,50074
11 0.0,,,,49709,50755
Longevity A,,,,50703,51770
Longevity B,,,,51697,52785
