"# Columbus_Education_Association_2022-2025.pdf — 902.01 Effective August 22, 2022 (Effective August 22, 2022)"
# population: teachers and school nurses possessing a valid school nurse certificate | is_teacher_schedule: True
"# validation_warnings: label_not_in_source: ""Pre-License Bachelor's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""Bachelor's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""Bachelor's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""Master's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""150 Hours and Master's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '30 Semester Hours Ph.D.' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit confirmed"
step,Pre-License Bachelor's Degree,Bachelor's Degree,Bachelor's Degree,Master's Degree,150 Hours and Master's Degree,30 Semester Hours Ph.D.
0,37798,48798,48798,52593,53588,57018
1,37798,48798,48798,53637,54679,58179
2,39315,50744,50744,54679,55770,59339
3,40878,52782,52782,56861,58000,61710
4,42539,54869,54869,59139,60276,64133
5,44199,57099,57099,61509,62692,66706
6,46001,59375,59375,63975,65208,69380
7,46001,61746,61746,66534,67816,72155
8,46001,64211,64211,69190,70566,75082
9,46001,66771,66771,71942,73364,78058
10,46001,69428,69428,74833,76303,81188
11,46001,72225,72225,77822,79338,84417
12,46001,75119,75119,80953,82516,87797
13,46001,78106,78106,84176,85835,91330
14,46001,81236,81236,87544,89250,94961
15,46001,84507,84507,91174,92976,98919
16,46001,84710,84710,91496,93297,99241
17,46001,84912,84912,91698,93499,99442
18,46001,84912,84912,91698,93499,99442
19,46001,85824,85824,92609,94413,100355
20,46001,86735,86735,93522,95324,101267
21,46001,86735,86735,93522,95324,101267
22,46001,86735,86735,93522,95324,101267
23,46001,88135,88135,94921,96724,102667
24,46001,89536,89536,96321,98124,104067
25,46001,89536,89536,96321,98124,104067
26,46001,89536,89536,96321,98124,104067
27,46001,91470,91470,98257,100060,106002
28,46001,93404,93404,100192,101994,107936
29,46001,93404,93404,100192,101994,107936
30,46001,95429,95429,102217,104021,109962
31,46001,97455,97455,104241,106043,111986
