document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,"Having been identified as the exclusive bargaining agent under Board Policy, the Board recognizes the Davis Education Association (""the Association"") as the exclusive representative of the licensed personnel except as herein provided.",2,high,Updated evidence to a more direct clause establishing the collective bargaining relationship and contract nature.
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2022; School Year 2022-2023","The terms of this agreement are effective as of July 1, 2022. / Davis School District Educator Salary Schedule – School Year 2022-2023","3, 13",high,Added salary schedule header quote to explicitly support the school year date included in the answer.
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,Licensed personnel / Teachers,"the Board recognizes the Davis Education Association (""the Association"") as the exclusive representative of the licensed personnel except as herein provided.",2,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding,This Agreement shall be deemed to be a part of each individual teacher's contract by reference thereof.,3,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,,not_applicable,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,Section 53G-11-206 of the Utah State Code; Utah Code Annotated; Utah Code §53F-2-405,"2, 3, 7",high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"The Board and the Association understand that the Board has certain powers and responsibilities that under the Constitution and Laws of the State of Utah may not be delegated to another group or organization. | Nothing in this Agreement shall be so construed as to deprive any individual of his/her rights under the Utah Right to Work Law nor his/her rights as set forth in Title VII of the Civil Rights Act or under Title 34, Utah Code Annotated, 1953, or amendments thereto. | The Association recognizes the Board as having all the rights and powers as provided in the constitution and the laws of the State of Utah. | The portion of the President's time paid for by the District shall be subject to the provisions of Board policy as stipulated by Section 53G-11-206 of the Utah State Code. | Employees must receive a satisfactory rating or above on their most recent evaluation to qualify per Utah Code §53F-2-405. | *TSSA (2019 SB149) Teacher and Student Success Act) pay is dependent upon continued legislative funding.","The Board and the Association understand that the Board has certain powers and responsibilities that under the Constitution and Laws of the State of Utah may not be delegated to another group or organization. | Nothing in this Agreement shall be so construed as to deprive any individual of his/her rights under the Utah Right to Work Law nor his/her rights as set forth in Title VII of the Civil Rights Act or under Title 34, Utah Code Annotated, 1953, or amendments thereto. | The Association recognizes the Board as having all the rights and powers as provided in the constitution and the laws of the State of Utah. | The portion of the President's time paid for by the District shall be subject to the provisions of Board policy as stipulated by Section 53G-11-206 of the Utah State Code. | Employees must receive a satisfactory rating or above on their most recent evaluation to qualify per Utah Code §53F-2-405. | *TSSA (2019 SB149) Teacher and Student Success Act) pay is dependent upon continued legislative funding.","2, 3, 8, 13",high,Updated evidence field to include all relevant quoted passages corresponding to the answer for completeness and traceability.
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","Nothing in this Agreement shall be so construed as to deprive any individual of his/her rights under the Utah Right to Work Law nor his/her rights as set forth in Title VII of the Civil Rights Act or under Title 34, Utah Code Annotated, 1953, or amendments thereto.","Nothing in this Agreement shall be so construed as to deprive any individual of his/her rights under the Utah Right to Work Law nor his/her rights as set forth in Title VII of the Civil Rights Act or under Title 34, Utah Code Annotated, 1953, or amendments thereto.",2,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Title VII of the Civil Rights Act,Title VII of the Civil Rights Act,2,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes. Schedule Title: Davis School District Educator Salary Schedule – School Year 2022-2023. Covered Year: 2022-2023. Covered Group: Educators. Page: 13.,Davis School District Educator Salary Schedule – School Year 2022-2023,13,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,School Year 2022-2023,Davis School District Educator Salary Schedule – School Year 2022-2023,13,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,no,,not_applicable,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,"In determining accredited teaching experience for educators hired effective July 1, 2000, or later, credit will be allowed for the first ten (10) years of qualified teaching experience outside the District and for all teaching experience in the District except when rehiring individuals who previously have retired from the District.",6,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",yes,"An educator salary adjustment of $4,200 is included as part of the Salary Schedule and is dependent upon continued legislative funding. Employees must receive a satisfactory rating or above on their most recent evaluation to qualify per Utah Code §53F-2-405.",9,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,Employees must receive a satisfactory rating or above on their most recent evaluation to qualify per Utah Code §53F-2-405.,Employees must receive a satisfactory rating or above on their most recent evaluation to qualify per Utah Code §53F-2-405.,9,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,not_discussed,,not_applicable,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_extra_duty_schedule_008,compensation,Does the document include an extra-duty or supplemental pay schedule?,yes,DAVIS SCHOOL DISTRICT JUNIOR HIGH COACHING EXTRA COMPENSATION FOR EXTRA DUTIES Fiscal Year 2022-2023... DAVIS SCHOOL DISTRICT SENIOR HIGH COACHING EXTRA COMPENSATION FOR EXTRA DUTIES Fiscal Year 2022-2023... Non-Athletic: Extra compensation for non-athletic assignments,16,high,Updated page reference to 16 to align with the exact location of the coaching compensation tables.
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_hardtostaff_sped_009,compensation,"Does the document provide additional pay, stipends, or salary differentials for special education teachers?",not_discussed,,not_applicable,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_hardtostaff_stem_010,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in STEM subjects?",yes,Critical Endorsement Recognition... receive one additional salary level per eligible endorsed area at initial placement... Current endorsements qualifying for this advancement are as follows: ... (iii) Math.,6,medium,Updated page reference to 6. Math is explicitly listed as a critical endorsement qualifying for one additional salary level.
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_hardtostaff_other_011,compensation,"Does the document provide additional pay, stipends, or salary differentials for teachers in high-need subjects or schools other than special education or STEM?",yes,"Current endorsements qualifying for this advancement are as follows: (i) English as a Second Language (ESL), (ii) Reading.",6,medium,Updated page reference to 6. ESL and Reading are listed as critical endorsements qualifying for salary advancement.
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_hardtostaff_schools_012,compensation,"Does the document provide incentives specifically for teaching in hard-to-staff, high-need, Title I, or priority schools, regardless of subject?",not_discussed,,not_applicable,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_experience_credit_indistrict_013,compensation,Does the document specify how prior in-district teaching experience is credited for initial salary placement?,yes,credit will be allowed for the first ten (10) years of qualified teaching experience outside the District and for all teaching experience in the District except when rehiring individuals who previously have retired from the District.,6,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_experience_credit_outofdistrict_014,compensation,Does the document specify how out-of-district but in-state teaching experience is credited for salary placement?,yes,credit will be allowed for the first ten (10) years of qualified teaching experience outside the District,6,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_experience_credit_outofstate_015,compensation,Does the document specify how out-of-state teaching experience is credited for salary placement?,yes,deny credit for any experience outside the United States for which the Utah State Board of Education does not reimburse the District.,7,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_experience_credit_military_public_016,compensation,Does the document credit military service or other public service for salary placement?,no,deny credit for military experience;,7,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,pay_national_board_017,compensation,Does the document provide extra pay for National Board certification or similar advanced certification?,"$1,000 per year","Educators with current National Board Certification will receive a stipend of one-thousand dollars ($1,000) per year in addition to their regular salary.",12,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,benefits_health_001,benefits,Does the document state that health or medical insurance is available to teachers?,yes,Employees eligible to participate in the District group insurance plans include:,20,high,
davis_school_district__davis_sd_2022_2023__fe1c4b6d,Davis_SD_2022-2023.pdf,benefits_health_contribution_002,benefits,What employer contribution toward health insurance is stated?,94% of the employee premium and 82% of the dependent premium,Ninety-four (94%) of the employee premium and eighty-two percent (82%) of the dependent premium for the plan selected.,23,high,
