# Chicago_CPS-CBA-2019-24.pdf — 1A. 208-Day Schedule / 2020-21 School Year (2020-21)
# population: Certified Teachers | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['14b', '14c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['15b', '15c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['18b', '18c', '18d', '18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Base Salary,Total Salary,Comp,Base Salary,Total Salary,Comp
1,60075,60075,64280,60075,60075,64280
2,60075,61010,65280,60075,61010,65280
3,61038,62160,66511,61038,62160,66511
4,62222,63437,67878,62222,63437,67878
5,63533,65496,70081,63533,65496,70081
6,65642,68072,72837,65642,68072,72837
7,68262,70832,75790,68262,70832,75790
8,71062,73632,78786,71062,73632,78786
9,73916,76486,81840,73916,76486,81840
10,76810,79240,84786,76810,79240,84786
11,81409,83652,89507,81409,83652,89507
12,85856,87725,93865,85856,87725,93865
13,89587,91176,97558,89587,91176,97558
14a,92159,93514,100059,92159,93514,100059
14b,93932,93932,100508,93932,93932,100508
14c,93932,93932,100508,93932,93932,100508
15a,93932,94902,101545,93932,94902,101545
15b,94931,94931,101577,94931,94931,101577
15c,94931,94931,101577,94931,94931,101577
16a,94931,96193,102927,94931,96193,102927
16b,96845,96845,103624,96845,96845,103624
16c,97819,97819,104667,97819,97819,104667
17a,97853,98403,105291,97853,98403,105291
17b,98446,98446,105338,98446,98446,105338
18a,98446,99708,106688,98446,99708,106688
18b,99746,99746,106729,99746,99746,106729
18c,99746,99746,106729,99746,99746,106729
18d,99746,99746,106729,99746,99746,106729
18e,99746,99746,106729,99746,99746,106729
18f,99746,99746,106729,99746,99746,106729
