document_id,district,file_name,source_path,pdf_sha256,text_path,text_sha256,pdf_pages,text_characters,text_status
albuquerque_public_schools__atf_negotiated_agreement_2018_19__6fb51640,Albuquerque Public Schools,ATF-Negotiated-Agreement_2018-19.pdf,raw/Albuquerque Public Schools/ATF-Negotiated-Agreement_2018-19.pdf,312918352566681e7f45f500e77a6377c3fef17282bb851a0d40cfd1fb79897f,cache/extracted_text/albuquerque_public_schools__atf_negotiated_agreement_2018_19__6fb51640.txt,8bc40d3030b455bf957d7a0cf0014f9f99e8b85e2b333c25fbb12e41d68ae6f8,109,429598,usable
anoka_hennepin_school_district__17_19_ta__e39ab993,Anoka–Hennepin School District,17_19_ta_.pdf,raw/Anoka–Hennepin School District/17_19_ta_.pdf,318dafc1d4cd96957e4564d441dd58cd3b895be3aef45333a59ea510d9690250,cache/extracted_text/anoka_hennepin_school_district__17_19_ta__e39ab993.txt,60da635a398710c51ac3374a26bb9fd9bd85568fefb41fb00fb12b727e30975e,4,20106,usable
baltimore_city_public_school_system__baltimore_city_public_schools_2021_2023__b5326055,Baltimore City Public School System,Baltimore_City_Public_Schools_2021-2023.pdf,raw/Baltimore City Public School System/Baltimore_City_Public_Schools_2021-2023.pdf,08382eb38335fb67d55f2e87772a6d2140cd1cf7ea272162c86a997e11c2e6af,cache/extracted_text/baltimore_city_public_school_system__baltimore_city_public_schools_2021_2023__b5326055.txt,987d443ae7126c9704033fdbe3b493bac315af1cad440f2ccfc7eb9194588312,92,248282,usable
boston_public_schools__boston_2021_24_collective_bargaining_agreement__94c62e6b,Boston Public Schools,Boston_2021-24-Collective-Bargaining-Agreement.pdf,raw/Boston Public Schools/Boston_2021-24-Collective-Bargaining-Agreement.pdf,3324af16567e29d54c5eca8385d84f6d4b8b5c2bf9ef014e09eab144a2282152,cache/extracted_text/boston_public_schools__boston_2021_24_collective_bargaining_agreement__94c62e6b.txt,6934732b7f3ee5125a7559175cfc7a32194615a1fa4f67af84e0a76f5ee28354,286,958780,usable
broward_county_public_schools__broward_teachers_u_contract_2011_2014__34350ea4,Broward County Public Schools,Broward_Teachers_U_Contract_2011_2014.pdf,raw/Broward County Public Schools/Broward_Teachers_U_Contract_2011_2014.pdf,bd21a758c00f7b0c54d8fb2a35dba4e6926099154e976eb5e51f2ee4776fadd2,cache/extracted_text/broward_county_public_schools__broward_teachers_u_contract_2011_2014__34350ea4.txt,8be6d95c34ecd3d5393aa155419c03605715d2b04027b8e353679242790c4227,228,559275,usable
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__f8b0b816,Cleveland Metropolitan School District,Cleveland_Teachers_Union_Contract_2021-2024.pdf,raw/Cleveland Metropolitan School District/Cleveland_Teachers_Union_Contract_2021-2024.pdf,0df9623852b8f34d9dd63ffbc9a7163ab92124f4221c431a85954da6cdd1bcef,cache/extracted_text/cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__f8b0b816.txt,b86737187e48ee76571b27abfb713c8ac5929d34eb09c7cfa0f78cbb6ef14e9d,288,1073307,usable
columbus_city_schools__columbus_education_association_2022_2025__0a7724f8,Columbus City Schools,Columbus_Education_Association_2022-2025.pdf,raw/Columbus City Schools/Columbus_Education_Association_2022-2025.pdf,0fbb61b53dabcde42f616a8397ab95035a32190a7215b22968de6b4f4ef64d86,cache/extracted_text/columbus_city_schools__columbus_education_association_2022_2025__0a7724f8.txt,fc98e98cfd295a5bce9c9478ae22422fffe8af1bd4d6200c0ddb19eb9a124b94,272,680418,usable
conroe_independent_school_district__21_22_employee_handbook_accessible_final__01f424b5,Conroe Independent School District,21-22-Employee-Handbook-Accessible-Final.pdf,raw/Conroe Independent School District/21-22-Employee-Handbook-Accessible-Final.pdf,38bf3f48320cc6b2518e910e326a88250990682c3cbe335908dec286e0985a6a,cache/extracted_text/conroe_independent_school_district__21_22_employee_handbook_accessible_final__01f424b5.txt,5e9af6bd22ba069ad99d2085319165963426fc344d9a1e38040055f6fac87173,74,291143,usable
dallas_independent_school_district__33__d7be4a6c,Dallas Independent School District,33.pdf,raw/Dallas Independent School District/33.pdf,239f7b3f10ecf3ebeee9c975b0b7bf0adba532902c596752a4714fdd8c0bfccf,cache/extracted_text/dallas_independent_school_district__33__d7be4a6c.txt,b2bc218746e97fdf3f79be603ed8ce730e9936b9af7d10f38bcfbe512f61d8d6,739,1986890,usable
dayton_public_schools__2019_06_25_amendments_to_dea_collective_bargaining_agre__4ddfbc24,Dayton Public Schools,2019-06-25-Amendments-to-DEA-Collective-Bargaining-Agreement.pdf,raw/Dayton Public Schools/2019-06-25-Amendments-to-DEA-Collective-Bargaining-Agreement.pdf,a5789cf548cc03406420395191e01bef0dd1698000d986bc6ecfa1e281d696d7,cache/extracted_text/dayton_public_schools__2019_06_25_amendments_to_dea_collective_bargaining_agre__4ddfbc24.txt,c1321748cca74900e13a4a5257fd90ccc2a178473df791b5d80164df4290d8ac,5,9616,usable
dekalb_county_school_district__dekalb_2015_16_employee_handbook__cd974e7c,DeKalb County School District,DeKalb_2015-16_Employee_Handbook.pdf,raw/DeKalb County School District/DeKalb_2015-16_Employee_Handbook.pdf,d6da303e27cb215d95ccbb1b9c0cda2032ef7b874124242f10dd330c2466a402,cache/extracted_text/dekalb_county_school_district__dekalb_2015_16_employee_handbook__cd974e7c.txt,df34da8b5bd035f46e2cd9fad6d1ecdf5f3ee7f3cba1897cdf4f71ba6d99c002,33,107636,usable
denver_public_schools__denver_2022_2025_cba_final__817f0170,Denver Public Schools,Denver_2022-2025-CBA-Final.pdf,raw/Denver Public Schools/Denver_2022-2025-CBA-Final.pdf,cd3259d217e08b2558b91a1a28dd5f294f71d7098bcbb5e796188472e96877fd,cache/extracted_text/denver_public_schools__denver_2022_2025_cba_final__817f0170.txt,b58a758d976b19c8292dacfbe2858d48a1ea366207035b430c1d4c5659c446b0,137,349091,usable
duval_county_public_schools__collective_bargaining_agreement_2011_2014t__91110759,Duval County Public Schools,Collective_Bargaining_Agreement_2011-2014T_.pdf,raw/Duval County Public Schools/Collective_Bargaining_Agreement_2011-2014T_.pdf,70b659c4c64f90e61ef54ad478802e8357db7c6636589adc476431f062e0f84a,cache/extracted_text/duval_county_public_schools__collective_bargaining_agreement_2011_2014t__91110759.txt,9982b1f07a683073597366d8dcb9a515bd522f7174de29465faf8f2f895b4f67,103,275744,usable
fort_bend_independent_school_district__2013_2014_employee_handbook__10229dfe,Fort Bend Independent School District,2013-2014_Employee_Handbook.pdf,raw/Fort Bend Independent School District/2013-2014_Employee_Handbook.pdf,1578a878924a2be6f157037fd2bcfd022bf5e7adbce6708d3b08f4f72e0b2cd7,cache/extracted_text/fort_bend_independent_school_district__2013_2014_employee_handbook__10229dfe.txt,670aca9ad5d28e5211a229b3bc965351b1a221d482b8b5a3fe509ce31865a3bd,56,192016,usable
fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__743fb3b0,Fresno Unified School District,FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,raw/Fresno Unified School District/FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf,29b9d75fd6211dea3b0f137f09af96f7dba29bda286488098626ee1e59bd4400,cache/extracted_text/fresno_unified_school_district__fta_fresno_teachers_association_cba_2010_2012__743fb3b0.txt,b2805c8f284557d0f6b0f8ecbd6b50f2ec4284711fb02c8e82939186d4b39477,142,440505,usable
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__5611e8c8,Hillsborough County Public Schools,Hillsborough_Contract_Teacher_2013_2016.pdf,raw/Hillsborough County Public Schools/Hillsborough_Contract_Teacher_2013_2016.pdf,069ab8f65274ce71925684e90beb292936b919b5ad8cdb017d45df81802177d7,cache/extracted_text/hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__5611e8c8.txt,771c96dd084abbc40148f6ba5a11fd2900fe53168bf6f7a3758cb586e5738e49,120,264624,usable
houston_independent_school_district__32__2cf8b57c,Houston Independent School District,32.pdf,raw/Houston Independent School District/32.pdf,6218a5a9fbd8165de496d241130c75e168c85f07f3cb86e1d111e6bdd7287989,cache/extracted_text/houston_independent_school_district__32__2cf8b57c.txt,96dc6e9f4ef6a628a3b4c9672b4a136adef736b3bb622af73731f45046df565f,413,1063238,usable
jackson_public_schools__jackson_bp_2__18cf56ee,Jackson Public Schools,Jackson_BP_(2).pdf,raw/Jackson Public Schools/Jackson_BP_(2).pdf,e459702a9fb1193c6712e862a59b556b5b55f922c47878ecb64b92b9da42268b,cache/extracted_text/jackson_public_schools__jackson_bp_2__18cf56ee.txt,80cc7cf4fec517f4f6836605c7252319941437e6f106bd817d94dbebe8ae085e,518,875955,usable
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__0ff2fffc,Jefferson County Public Schools,Jefferson_County_KY_2018-2026_Contract.pdf,raw/Jefferson County Public Schools/Jefferson_County_KY_2018-2026_Contract.pdf,d7e9392e7a218c6cd3b892e88d0aa2fbac406102bc72e1482f4393e7cb4045f5,cache/extracted_text/jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__0ff2fffc.txt,2bd2abd188ac67dca8b33f983bf627cc17d468a0b0ab4896c321ab6b040b9ad2,120,233102,usable
