document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,This collective bargaining agreement (hereinafter referred to as the “Agreement”) is entered into by and between the Board of Education of the City of Chicago,5,high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"December 7, 2016","on the 7th day of December, 2016 to become effective on the same date.",5,high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,All employees employed in the job titles or categories of positions listed in Appendix D,The BOARD recognizes the UNION as the sole and exclusive bargaining representative of all employees employed in the job titles or categories of positions listed in Appendix D.,6,high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding,This collective bargaining agreement (hereinafter referred to as the “Agreement”) is entered into by and between the Board of Education of the City of Chicago... and the Chicago Teachers Union,5,high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,,not_applicable,high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,subject to the provisions of the Illinois Educational Labor Relations Act.,7,high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"No other group or organization or representative thereof shall be recognized or permitted to engage on behalf of any employees included in the UNION bargaining unit (referred to herein as “bargaining unit employees” or “bargaining unit members”) in any activities concerning wages, hours or terms and conditions of employment, including the submission of proposals, participation in hearings, conferences or meetings for any purposes and any other group or collective action dealing with above-described matters, subject to the provisions of the Illinois Educational Labor Relations Act.","No other group or organization or representative thereof shall be recognized or permitted to engage on behalf of any employees included in the UNION bargaining unit (referred to herein as “bargaining unit employees” or “bargaining unit members”) in any activities concerning wages, hours or terms and conditions of employment, including the submission of proposals, participation in hearings, conferences or meetings for any purposes and any other group or collective action dealing with above-described matters, subject to the provisions of the Illinois Educational Labor Relations Act.",6,high,Updated evidence to quote the complete sentence for accuracy and context.
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","The BOARD agrees that it will reimburse a PSRP for the cost of the test option required by the No Child Left Behind Act, provided the PSRP submits written verification of passage of such test.
School assistants I and II who become highly qualified under the No Child Left Behind Act during the term of this Agreement shall be reclassified to teacher assistants I or II (depending on which position they qualify for) after producing Illinois State Board of Education verification of their highly qualified status to the Talent Office and shall be placed on the appropriate step of Grades GB1 or GB2 and shall retain their seniority for all purposes.","The BOARD agrees that it will reimburse a PSRP for the cost of the test option required by the No Child Left Behind Act, provided the PSRP submits written verification of passage of such test. School assistants I and II who become highly qualified under the No Child Left Behind Act during the term of this Agreement shall be reclassified to teacher assistants I or II (depending on which position they qualify for) after producing Illinois State Board of Education verification of their highly qualified status to the Talent Office and shall be placed on the appropriate step of Grades GB1 or GB2 and shall retain their seniority for all purposes.","45, 49",high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,No Child Left Behind Act,No Child Left Behind Act,"45, 49",high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,Yes. Appendix A covers all bargaining unit employees for the 2019-2024 agreement term.,The annual salaries of all bargaining unit employees and all other provisions governing compensation and remuneration are set forth in the salary schedules and provisions attached hereto as Appendix A.,155,high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,"Fiscal years 2020-2024 specified for COLA; agreement term is 2019-2024. Multiple schedules referenced (Appendix A-1A through A-1D, A-1F through A-1H, A-2A, A-3E, A-3F, A-3H).",Salary schedules will receive a cost of living adjustment in the following percentages on July 1st of the corresponding fiscal year: Fiscal Year 2020 3.0% ... 2024 3.5%,155,high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,"CCC 'step entry and anniversary dates will be July 1st' (p. 62); CTEAC 'step anniversary date will be July 1st' (p. 66); ISLs receive specified 'FY2020 Annual Salary Increases', 'FY2021 Annual Salary Increases', 'FY2022 Annual Salary Increases', 'FY 2023 Annual Salary Increases', and 'FY 2024 Annual Salary Increases' (pp. 67-68).","62, 66, 67-68",high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,Yes. Eligible types: prior teaching experience within CPS and outside CPS. Processing/Approval: Talent Office reviews claims with documentary proof; adjustments made within 45 days of receipt. Maximum years credited: not specified in this section.,Salary step adjustments based on previous teaching experience in the Chicago public schools shall be made no later than forty-five days from the date proper claim is received in the Talent Office. / Salary step adjustments based on previous teaching experience outside the Chicago public schools shall be made no later than forty-five days from the date proper claim and documentary proof verifying employment are received in the Talent Office.,158,high,
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",not_discussed,,not_applicable,medium,"Changed from 'no' to 'not_discussed'. The document does not explicitly state that performance pay is excluded, and the topic is not addressed in the provided text."
chicago_public_schools__chicago_cps_cba_2019_24__49aa35c8,Chicago_CPS-CBA-2019-24.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,not_discussed,,not_applicable,high,
