# Cleveland_Teachers_Union_Contract_2021-2024.pdf — Salary Schedule (2021-2024)
# population: certified teachers | is_teacher_schedule: True
"# validation_warnings: label_not_in_source: '2021-2022 Effective July 1, 2021' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '2022-2023 Effective July 1, 2022' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '2023-2024 Effective July 1, 2023' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit confirmed"
step,"2021-2022 Effective July 1, 2021","2022-2023 Effective July 1, 2022","2023-2024 Effective July 1, 2023"
Level 1,47746,49178,50162
Level 2,49167,50642,51655
Level 3,50688,52209,53253
Level 4,52685,54265,55350
Level 5,53878,55495,56605
Level 6,55484,57149,58292
Level 7,57017,58727,59902
Level 8,59237,61014,62235
Level 9,60294,62103,63345
Level 10,60249,62206,63405
Level 11,60423,62236,63480
Level 12,60423,62236,63480
Level 13,62422,62236,62408
Level 14,,,
Level 15,61042,62236,63480
Level 16,61730,63582,64853
Level 17,61730,63582,64853
Level 18,61730,63582,64853
Level 19,61730,63582,64853
Level 20,61730,63582,64853
Level 21,62919,64806,66102
Level 22,62919,64806,66102
Level 23,62919,64806,66102
Level 24,62919,64806,66102
Level 25,62919,64806,66102
