# 84.pdf — 2007-2008 SALARY SCHEDULE (2007-2008)
# population: certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
step,BA + 0,BA +12,BA + 24,BA +36,BA + 48,BA + 60,BA + 72
0 A,31000,,,,,,31519
1 B,31000,,,,,,32700
2 C,31000,,,,,,33927
3 A,,32700,33927,35199,36519,37889,39309
4 B,,33927,35199,36519,37889,39309,40784
5 C,33927,35199,36519,37889,39309,40784,42312
6 A,,,37889,39309,40784,42312,43899
7 B,,,39309,40784,42312,43899,45546
8 C,,,40784,42312,43899,45546,47254
9 D,,,,43899,45546,47254,49025
10 E,,,32509,45546,47254,49025,50864
11 F,,,,35850,49025,50864,52772
12 G,,,,,,54751,54751
13 H,,,,,,,56940
