id,pdf,page,verdict,wrong_cells_approx,notes
P01,17_19_ta_.pdf,3,,,
P02,17_19_ta_.pdf,2,,,
P03,33.pdf,680,,,
P04,33.pdf,689,,,
P05,Pittsburgh_10-15.pdf,30,,,
P06,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,376,,,
P07,SD_of_Philadelphia_2021-2024.pdf,142,,,
P08,ATF-Negotiated-Agreement_2018-19.pdf,74,,,
P09,33.pdf,692,,,
P10,Columbus_Education_Association_2022-2025.pdf,102,,,
P11,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,402,,,
P12,ATF-Negotiated-Agreement_2018-19.pdf,73,,,
P13,SD_of_Philadelphia_2021-2024.pdf,157,,,
P14,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,344,,,
P15,33.pdf,691,,,
P16,Pittsburgh_10-15.pdf,28,,,
P17,SD_of_Philadelphia_2021-2024.pdf,148,,,
P18,ATF-Negotiated-Agreement_2018-19.pdf,72,,,
P19,Cleveland_Teachers_Union_Contract_2021-2024.pdf,164,,,
P20,33.pdf,681,,,
P21,SD_of_Philadelphia_2021-2024.pdf,157,,,
P22,33.pdf,690,,,
P23,17_19_ta_.pdf,3,,,
P24,Cleveland_Teachers_Union_Contract_2021-2024.pdf,163,,,
P25,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,328,,,
P26,Columbus_Education_Association_2022-2025.pdf,103,,,
P27,ATF-Negotiated-Agreement_2018-19.pdf,77,,,
