# ATF-Negotiated-Agreement_2018-19.pdf — 2018-2019 Salary Matrix AT-1 (2018-2019)
"# population: Licensure Level 1 Teachers & Librarians and Career Pathway Level 1 Counselors, Nurses, Social Workers & Interpreters | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
step,BA,BA+15,BA+45,MA,MA+15,MA+45,Doctorate
1,36000,36131,36263,36396,36528,36662,36796
2,36001,36132,36264,36397,36529,36663,36797
3,36002,36133,36265,36398,36530,36664,36798
4,36003,36134,36266,36399,36531,36665,36799
5,36004,36135,36267,36400,36532,36666,36800
6,36005,36136,36268,36401,36533,36667,36801
7,36006,36137,36269,36402,36534,36668,36802
8,36007,36138,36270,36403,36535,36669,36803
9,36008,36139,36271,36404,36536,36670,36804
10,36009,36140,36272,36405,36537,36671,36805
11,36010,36141,36273,36406,36538,36672,36806
12,36011,36142,36274,36407,36539,36673,36807
13,36012,36143,36275,36408,36540,36674,36808
14,36013,36144,36566,36908,36941,37076,37108
15,36014,36145,36567,36909,36942,37077,37109
16,36654,36675,36893,36910,36943,37078,37110
17,36655,36676,36894,36911,36944,37079,37111
18,36656,36677,36895,36912,36945,37080,37112
19,36657,36678,36896,36913,36946,37081,37113
20,36658,36679,36897,36914,36947,37082,37114
