# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2015-2016 SPECIAL SERVICES SALARY (D) TABLE (Continued) (2015-2016)
# population: Special Services (Pay Scale Group D) | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['B basis', 'C basis', 'E basis'] | audit corrected this table"
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,1,2,2,3,3,4,4,5,5
34D A basis,87381,87381,92275,92275,97499,97499,103051,103051,108694,108694
E basis,92391,92391,97450,97450,103139,103139,108815,108815,115030,115030
B basis,87258,87258,92036,92036,97409,97409,102770,102770,108639,108639
C basis,72123,72123,76206,76206,80546,80546,84956,84956,89917,89917
35D A basis,89805,89805,94790,94790,100252,100252,105940,105940,111823,111823
E basis,92391,92391,97450,97450,103139,103139,108815,108815,115030,115030
B basis,87258,87258,92036,92036,97409,97409,102770,102770,108639,108639
36D A basis,92275,92275,97499,97499,103051,103051,108694,108694,115040,115040
E basis,92391,92391,97450,97450,103139,103139,108815,108815,115030,115030
B basis,87258,87258,92036,92036,97409,97409,102770,102770,108639,108639
C basis,72123,72123,76206,76206,80546,80546,84956,84956,89917,89917
37D A basis,94790,94790,100252,100252,105940,105940,111823,111823,118199,118199
E basis,92391,92391,97450,97450,103139,103139,108815,108815,115030,115030
B basis,87258,87258,92036,92036,97409,97409,102770,102770,108639,108639
38D A basis,97499,97499,103051,103051,108694,108694,115040,115040,121371,121371
E basis,92391,92391,97450,97450,103139,103139,108815,108815,115030,115030
B basis,87258,87258,92036,92036,97409,97409,102770,102770,108639,108639
39D A basis,100252,100252,105940,105940,111823,111823,118199,118199,124814,124814
E basis,92391,92391,97450,97450,103139,103139,108815,108815,115030,115030
B basis,87258,87258,92036,92036,97409,97409,102770,102770,108639,108639
40D A basis,103051,103051,108694,108694,115040,115040,121371,121371,128302,128302
E basis,92391,92391,97450,97450,103139,103139,108815,108815,115030,115030
B basis,87258,87258,92036,92036,97409,97409,102770,102770,108639,108639
