# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — APPENDIX E (2015-2016)
# population: certified teachers | is_teacher_schedule: False
# validation_warnings: cross_grid_contamination: a value column matches a column in a different schedule (p364) — one grid's data may be contaminated from another; verify | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,6,7,8,9,10
19C (continued) - A basis,61202,61382,63447,66366,69315
19C (continued) - A basis - Monthly,5100.14,5115.15,5287.29,5530.53,5776.27
19C (continued) - C basis,47836,47977,49591,51873,54177
19C (continued) - C basis - Monthly,3986.32,3998.05,4132.58,4322.72,4514.78
19C (continued) - E basis,54871,55032,56884,59501,62145
19C (continued) - E basis - Monthly,4572.57,4585.98,4740.31,4958.41,5178.71
20 - 19C (continued) - A basis,70523,,,,
20 - 19C (continued) - A basis - Monthly,5876.89,,,,
20 - 19C (continued) - C basis,55125,,,,
20 - 19C (continued) - C basis - Monthly,4593.77,,,,
20 - 19C (continued) - E basis,63232,,,,
20 - 19C (continued) - E basis - Monthly,5269.32,,,,
