# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2015-2016 SPECIAL SERVICES SALARY (D) TABLE (Continued) (2015-2016)
# population: Special Services | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5
34D A basis,7427.34 89128,7843.35 94120,8287.40 99449,8759.35 105112,9239.00 110868
34D E basis,6658.99 79908,7031.98 84384,7430.06 89161,7853.25 94239,8283.25 99399
34D B basis,6289.07 75469,6641.29 79695,7017.30 84208,7416.92 89003,7823.05 93877
34D C basis,5805.31 69664,6130.46 73566,6477.52 77730,6846.41 82157,7221.26 86655
35D A basis,7633.44 91601,8057.14 96686,8521.46 102258,9004.93 108059,9504.95 114059
35D E basis,6843.77 82125,7223.65 86684,7639.88 91679,8073.36 96880,8521.69 102260
35D B basis,6463.57 77563,6822.33 81868,7215.51 86586,7624.87 91498,8048.24 96579
36D A basis,7843.35 94120,8287.40 99449,8759.35 105112,9239.00 110868,9778.40 117341
36D E basis,7031.94 84383,7430.05 89161,7853.22 94239,8283.23 99399,8766.84 105202
36D B basis,6641.29 79695,7017.30 84208,7416.92 89003,7823.05 93877,8279.80 99358
36D C basis,6130.46 73566,6477.48 77730,6846.41 82157,7221.29 86655,7642.91 91715
37D A basis,8057.14 96686,8521.46 102258,9004.93 108059,9504.95 114059,10046.90 120563
37D E basis,7223.65 86684,7639.88 91679,8073.36 96880,8521.69 102260,9007.53 108090
37D B basis,6822.34 81868,7215.47 86586,7624.86 91498,8048.25 96579,8507.12 102085
38D A basis,8287.40 99449,8759.35 105112,9239.00 110868,9778.40 117341,10316.55 123799
38D E basis,7430.05 89161,7853.22 94239,8283.23 99399,8766.84 105202,9249.29 110991
38D B basis,7017.27 84207,7416.92 89003,7823.05 93877,8279.80 99358,8735.43 104825
39D A basis,8521.46 102258,9004.93 108059,9504.95 114059,10046.90 120563,10609.22 127311
39D E basis,7639.88 91679,8073.36 96880,8521.69 102260,9007.53 108090,9511.67 114140
39D B basis,7215.47 86586,7624.86 91498,8048.25 96579,8507.12 102085,8983.24 107799
40D A basis,8759.35 105112,9239.00 110868,9778.40 117341,10316.55 123799,10905.67 130868
40D E basis,7853.22 94239,8283.23 99399,8766.84 105202,9249.29 110991,9777.52 117330
40D B basis,7416.92 89003,7823.05 93877,8279.80 99358,8735.43 104825,9234.30 110812
