# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Early Education Center Salary (C) Table (2015-2016)
# population: Early Education Center staff | is_teacher_schedule: False
# validation_warnings: duplicate step_labels: [''] | audit corrected this table
step,1,2,3,4,5
Minimum of 60 Semester Units,42238,43855,45696,47268,49452
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
Minimum Plus 14 Points,43855,45696,47268,49004,51055
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
Minimum Plus 28 Points,45696,47268,49004,50605,52731
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
Bachelor's Degree,47268,49004,50605,52252,54482
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
BA + Elementary or Early Education Credential,49767,51983,54692,57535,60993
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
,3718.26,3883.72,4086.16,4298.60,4556.96
