# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Early Education Center Salary (C) Table (2015-2016)
# population: Early Education Center staff (Pay Scale Group C) | is_teacher_schedule: False
# validation_warnings: duplicate step_labels: [''] | audit confirmed
step,1,2,3,4,5
Minimum of 60 Semester Units,43083,44733,46610,48213,50441
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
Minimum Plus 14 Points,44733,46610,48213,49984,52076
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
Minimum Plus 28 Points,46610,48213,49984,51617,53785
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
Bachelor's Degree,48213,49984,51617,53297,55571
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
BA + Elementary or Early Education Credential,50762,53022,55786,58686,62213
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
,3792.63,3961.39,4167.88,4384.57,4648.10
