# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Development Center Salary (V) Table (2015-2016)
# population: Development Center staff | is_teacher_schedule: False
# validation_warnings: duplicate step_labels: [''] | audit confirmed
step,1,2,3,4,5
Minimum of 60 Semester Units,33447,34698,36149,37330,39051
,3225.00,3334.15,3442.34,3557.42,3711.40
Minimum Plus 14 Points,34698,36149,37330,38700,40372
,3225.00,3334.15,3442.34,3557.42,3711.40
Minimum Plus 28 Points,36149,37330,38700,40010,41670
,3225.00,3334.15,3442.34,3557.42,3711.40
Bachelor's Degree,37330,38700,40010,41308,43063
,3225.00,3334.15,3442.34,3557.42,3711.40
BA + Restricted Severely Handicapped Credential,38700,40010,41308,42689,44537
,3225.00,3334.15,3442.34,3557.42,3711.40
