# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — APPENDIX E (2016-2017)
# population: Pay Scale Group 19C | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['', 'C basis', 'E basis'] | audit confirmed"
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,6,7,8,9,10,20
19C A basis,62426,62609,64716,67694,70702,
(continued),5202.14,5217.45,5393.04,5641.14,5891.8,
C basis,,,,,,56228
,,,,,,5374.7
E basis,,,,,,64496
,,,,,,5374.7
A basis,,,,,,71933
,,,,,,5374.7
C basis,,,,,,56228
,,,,,,5374.7
E basis,,,,,,64496
,,,,,,5374.7
