# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — APPENDIX E (2016-2017)
# population: Certified Teachers (Pay Scale Group 19C) | is_teacher_schedule: True
"# validation_warnings: duplicate step_labels: ['', '19C (continued) A basis', 'C basis', 'E basis'] | audit confirmed"
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,6,7,8,9,10,20
19C (continued) A basis,,,,,,71933
,,,,,,5374.70
C basis,,,,,,56228
,,,,,,5374.70
E basis,,,,,,64496
,,,,,,5374.70
19C (continued) A basis,,,,,,71933
,,,,,,5374.70
C basis,,,,,,56228
,,,,,,5374.70
E basis,,,,,,64496
,,,,,,5374.70
