# 69.pdf — Appendix A-1 Salary Schedule FY2007 (FY2007)
# population: teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,BA,BA+15,BA+36,MA,BA+51,MA+15,BA+66,MA+30
1,34550,35932,38005,38005,40424,40424,42842,42842
2,35932,37660,39905,39905,42151,42151,44570,44570
3,36450,38351,40838,40838,43533,43533,46297,46297
4,38696,39905,42842,42842,44915,44915,48370,48370
5,40078,41460,43965,43965,46643,46643,50098,50098
6,41270,43188,45692,45692,48370,48370,51825,51825
7,41270,44570,48370,48370,50098,50098,53553,53553
8,42811,47334,50098,50098,51825,51825,55280,55280
9,47454,48370,51825,51825,54589,54589,57353,57353
10,,51462,57008,57008,57699,57699,60117,60117
11,,,,59426,60117,60117,61499,61499
12,,,,,,61841,63572,63572
13,,,,,,,,65849
14,,,,,,,,66872
15,,,,,,,,69100
