# Columbus_Education_Association_2022-2025.pdf — 902.03 Effective at the beginning of the 2024–2025 school year (Effective at the beginning of the 2024–2025 school year)
# population: teachers and school nurses possessing a valid school nurse certificate | is_teacher_schedule: True
"# validation_warnings: label_not_in_source: ""Pre-License Bachelor's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""Bachelor's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""Bachelor's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""Master's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""150 Hours and Master's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '30 Semester Hours Ph.D.' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit confirmed"
step,Pre-License Bachelor's Degree,Bachelor's Degree,Bachelor's Degree,Master's Degree,150 Hours and Master's Degree,30 Semester Hours Ph.D.
0,40882,52780,52780,56884,57961,61671
1,40882,52780,52780,58014,59141,62926
2,42523,54884,54884,59141,60321,64181
3,44214,57089,57089,61501,62733,66746
4,46010,59347,59347,63964,65195,69366
5,47806,61758,61758,66528,67808,72149
6,49755,64220,64220,69195,70529,75042
7,49755,66784,66784,71963,73350,78043
8,49755,69450,69450,74836,76324,81208
9,49755,72220,72220,77812,79350,84428
10,49755,75094,75094,80940,82529,87812
11,49755,78118,78118,84172,85812,91305
12,49755,81249,81249,87558,89249,94961
13,49755,84480,84480,91044,92840,98782
14,49755,87865,87865,94688,96532,102710
15,49755,91403,91403,98613,100563,106990
16,49755,91622,91622,98962,100910,107339
17,49755,91841,91841,99180,101129,107556
18,49755,91841,91841,99180,101129,107556
19,49755,92827,92827,100166,102117,108544
20,49755,93813,93813,101153,103103,109530
21,49755,93813,93813,101153,103103,109530
22,49755,93813,93813,101153,103103,109530
23,49755,95327,95327,102666,104617,111044
24,49755,96842,96842,104180,106131,112558
25,49755,96842,96842,104180,106131,112558
26,49755,96842,96842,104180,106131,112558
27,49755,98934,98934,106275,108225,114652
28,49755,101026,101026,108367,110317,116744
29,49755,101026,101026,108367,110317,116744
30,49755,103216,103216,110558,112509,118935
31,49755,105408,105408,112747,114696,121124
