# Denver_2022-2025-CBA-Final.pdf — DCTA ESLI Salary Schedule ()
# population: DCTA ESLI | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,BA,BA+36/MA
1,50130,52328
2,51290,54148
3,52990,55969
4,54690,57789
5,56391,59609
6,58090,61430
7,59790,63250
8,61490,65070
9,63190,66891
10,64890,68711
11,66589,70531
12,68289,72351
13,69990,74172
14,71689,75992
15,73389,77812
16,75089,79635
17,76790,81455
18,78489,83275
19,80189,85096
20,81889,86916
