"# Baltimore_City_2016-2019.pdf — 2016-17 BTU Career Pathway Salary Schedule Effective July 1, 2016 (Effective July 1, 2016)"
# population: Base Teacher | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,Standard,Professional,Model,Lead
1,48430,60503,88358,96206
2,49882,63143,89911,97862
3,51378,65783,91465,99519
4,52920,68423,93018,101176
5,54507,71065,94570,102832
6,,73912,,
7,,76862,,
8,,78415,,
9,,79456,,
10,,80496,,
11,,81536,,
12,,82578,,
13,,83618,,
14,,84658,,
15,,85700,,
