# Chicago_CPS-CBA-2019-24.pdf — 1D. 52-Week Schedule / 2019-20 School Year (2019-20 School Year)
# population: certified teachers (inferred from context) | is_teacher_schedule: True
"# validation_warnings: identical values across steps ['14b', '14c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['15b', '15c'] — looks like one column copied across rows instead of each row's own data; identical values across steps ['18b', '18c', '18d', '18e', '18f'] — looks like one column copied across rows instead of each row's own data | audit confirmed"
step,Lane 3 Base Salary,Lane 3 Total Salary,Lane 3 Total Comp,Lane 4 Base Salary,Lane 4 Total Salary,Lane 4 Total Comp,Lane 5 Base Salary,Lane 5 Total Salary,Lane 5 Total Comp,Lane 6 Base Salary,Lane 6 Total Salary,Lane 6 Total Comp
1,72775,72775,77869,75059,75059,80313,77341,77341,82755,79624,79624,85197
2,72775,73905,79078,75059,76189,81522,77341,78471,83964,79624,80754,86406
3,73939,75294,80564,76222,77577,83008,78505,79860,85450,80788,82143,87892
4,75364,76832,82210,77647,79115,84653,79930,81398,87096,82212,83680,89538
5,76934,79306,84857,79217,81589,87301,81500,83872,89743,83782,86154,92185
6,79443,82380,88147,81728,84665,90591,84010,86947,93034,86293,89230,95476
7,82561,85667,91664,84845,87951,94107,87127,90233,96550,89410,92516,98992
8,85911,89017,95248,88194,91300,97691,90477,93583,100134,92760,95866,102576
9,89306,92412,98881,91590,94696,101324,93872,96978,103767,96155,99261,106209
10,94871,97808,104655,97156,100093,107099,99438,102375,109541,101721,104658,111984
11,100318,103029,110241,102601,105312,112684,104885,107596,115128,107167,109878,117570
12,105148,107407,114926,107431,109690,117368,109716,111975,119813,111996,114255,122253
13,108502,110422,118152,110786,112706,120596,113068,114988,123037,115351,117271,125480
14a,110864,112502,120378,113149,114787,122822,115431,117069,125263,117714,119352,127707
14b,112502,112502,120378,114787,114787,122822,117069,117069,125263,119352,119352,127707
14c,112502,112502,120378,114787,114787,122822,117069,117069,125263,119352,119352,127707
15a,112502,113675,121632,114787,115959,124077,117069,118241,126518,119352,120524,128961
15b,113675,113675,121632,115959,115959,124077,118241,118241,126518,120524,120524,128961
15c,113675,113675,121632,115959,115959,124077,118241,118241,126518,120524,120524,128961
16a,114396,115917,124031,116679,118200,126474,118963,120484,128918,121245,122766,131360
16b,117129,117129,125328,119479,119479,127843,121830,121830,130358,124180,124180,132873
16c,117168,117168,125370,119518,119518,127885,121869,121869,130400,124220,124220,132915
17a,117200,117865,126115,119551,120216,128631,121901,122566,131145,124252,124917,133661
17b,117865,117865,126115,120216,120216,128631,122566,122566,131145,124917,124917,133661
18a,117865,119383,127739,120216,121734,130255,122566,124084,132770,124917,126435,135285
18b,119383,119383,127739,121734,121734,130255,124084,124084,132770,126435,126435,135285
18c,119383,119383,127739,121734,121734,130255,124084,124084,132770,126435,126435,135285
18d,119383,119383,127739,121734,121734,130255,124084,124084,132770,126435,126435,135285
18e,119383,119383,127739,121734,121734,130255,124084,124084,132770,126435,126435,135285
18f,119383,119383,127739,121734,121734,130255,124084,124084,132770,126435,126435,135285
