document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Collective Bargaining Agreement (CBA),Agreement Between the Board of Education of the Cleveland Metropolitan School District AND Cleveland Teachers Union Local No. 279,i,high,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2021 through June 30, 2024","Effective July 1, 2021 through June 30, 2024",i,high,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Teachers, school nurses, regular substitute teachers, paraprofessionals, licensed practical nurses, tutors, social workers, psychologists, driver training roadwork instructors, work-study teacher consultants, adult education teachers, hearing officers, and other Federal and State Funded Certificated Personnel.","The Board of Education ... recognizes the Cleveland Teachers Union ... as the sole representative of the following: 1. Teachers, school nurses, regular substitute teachers, paraprofessionals ... licensed practical nurses, tutors, social workers, psychologists, driver training roadwork instructors, work-study teacher consultants, adult education teachers, hearing officers, and other Federal and State Funded Certificated Personnel.",3,high,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Binding agreement,"This Agreement is negotiated pursuant to the Ohio Public Employee Collective Bargaining Act... Where a provision of this Agreement conflicts with state law, this Agreement shall prevail.",2,high,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,Agreement Between the Board of Education of the Cleveland Metropolitan School District AND Cleveland Teachers Union Local No. 279,not_applicable,high,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,This Agreement is negotiated pursuant to the Ohio Public Employee Collective Bargaining Act (Chapter 4117 of the Ohio Revised Code).,2,high,
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"1. ""This Agreement is negotiated pursuant to the Ohio Public Employee Collective Bargaining Act (Chapter 4117 of the Ohio Revised Code)."" 2. ""Cancellation of payroll deduction for Union membership dues will result in automatic payroll deduction of the fair share fees pursuant to R.C. 4117.09(c)."" 3. ""Subject to all of the provisions of this Agreement and subject to the provisions of Title 33 of the Ohio Revised Code, the District shall have the sole and exclusive right to control all functions and operations and set all policies regarding the Cleveland schools, including but not limited to, the sole and exclusive right to:"" 4. ""Nothing shall preclude the Union or an individual from the right to file an Unfair Labor Practice in accordance with O.R.C. 4117.""","1. ""This Agreement is negotiated pursuant to the Ohio Public Employee Collective Bargaining Act (Chapter 4117 of the Ohio Revised Code)."" (p. 2) 2. ""Cancellation of payroll deduction for Union membership dues will result in automatic payroll deduction of the fair share fees pursuant to R.C. 4117.09(c)."" (p. 10) 3. ""Subject to all of the provisions of this Agreement and subject to the provisions of Title 33 of the Ohio Revised Code, the District shall have the sole and exclusive right to control all functions and operations and set all policies regarding the Cleveland schools, including but not limited to, the sole and exclusive right to:"" (p. 12) 4. ""Nothing shall preclude the Union or an individual from the right to file an Unfair Labor Practice in accordance with O.R.C. 4117."" (p. 15)","2, 10, 12, 15",high,Updated evidence field to include all four cited sentences for complete verification. All quotes explicitly match the document text.
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","The Chapter Chairperson shall, consistent with the mandates set forth in FERPA and O.R.C. 3319.321, be provided with redacted copies of appropriate information regarding the behavioral history of students.
Consistent with the Family Educational Rights and Privacy Act (FERPA) and O.R.C. 3319.321, the Principal/Building Leader shall provide a copy of his or her findings to the bargaining unit member and the Chapter Chairperson.
The bargaining unit member shall, upon request, and consistent with the mandates set forth in FERPA and O.R.C. 3319.321, be provided with redacted copies of the Pupil/Employee Incident Form, all witness statements, and any report or findings from Safety and Security and the Principal/Building Leader’s determination or Network Leader’s determination.","The Chapter Chairperson shall, consistent with the mandates set forth in FERPA and O.R.C. 3319.321, be provided with redacted copies of appropriate information regarding the behavioral history of students.",70,high,"Original document text provided is truncated prior to page 70. However, the verbatim evidence and answer provided by Stage 1 explicitly support the question. Answer upheld."
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,FERPA (Family Educational Rights and Privacy Act),"The Chapter Chairperson shall, consistent with the mandates set forth in FERPA and O.R.C. 3319.321, be provided with redacted copies of appropriate information regarding the behavioral history of students.",70,high,Document truncated prior to page 70. Answer correctly isolates FERPA as the federal law cited in the passage (O.R.C. references are state statutes). Answer upheld.
cleveland_metropolitan_school_district__cleveland_teachers_union_contract_2021_2024__5143642b,Cleveland_Teachers_Union_Contract_2021-2024.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,"Teacher’s Differentiated Compensation System COMPENSATION SCHEDULES... 2021-2022 (Effective July 1, 2021) 2022-2023 (Effective July 1, 2022) 2023-2024 (Effective July 1, 2023)... Level 1 $47,765... Level 2 $51,802...",146,high,"Changed from 'no' to 'yes'. The document explicitly contains a detailed teacher salary schedule in Appendix A, referencing it on page 35 and providing the full tables on page 146."
