"# Baltimore_City_2016-2019.pdf — 2018-19 BTU Career Pathway Salary Schedule Effective January 1, 2019 (2018-19 (Effective January 1, 2019))"
# population: Department Head I | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,BTU.260,BTU.261,BTU.262
1,54461,66838,95393
2,55950,69545,96986
3,57483,72251,98578
4,59064,74958,100171
5,60691,77665,101762
6,,80584,
7,,83609,
8,,85201,
9,,86267,
10,,87334,
11,,88401,
12,,89468,
13,,90534,
14,,91601,
15,,92668,
