document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,Tentative Collective Bargaining Agreement,Teachers/Professionals Tentative Collective Bargaining Agreement between the Pittsburgh Federation of Teachers and the Pittsburgh Board of Public Education,1,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"July 1, 2010, through June 30, 2015","This five year agreement will be in effect from July 1, 2010, through June 30, 2015.",1,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Teachers/Professionals, counselors, social workers, paraprofessionals, and technical-clerical personnel",Teachers/Professionals Tentative Collective Bargaining Agreement... PFT-represented fulltime professional staff... PFT-represented paraprofessionals and technical-clerical personnel,1-2,high,"Updated evidence to explicitly include paraprofessionals and technical-clerical personnel, which were only implied in the original Stage 1 quote."
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",Tentative agreement,Selected Key Components of this Five-Year Tentative Agreement,1,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,Annual salary increases are in place for every step of every salary schedule in the Professionals’ Collective Bargaining Agreement.,N/A,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",no,,not_applicable,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,not_discussed,,not_applicable,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.",not_discussed,,not_applicable,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,not_discussed,,not_applicable,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,yes,S. Complete Salary Schedules Teachers .................................................................................................................. page 13,13,high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,September 2010 through September 2014,"July 1, 2010, through June 30, 2015 / September 2010, September 2011, September 2012, September 2013, September 2014","1, 13",high,
pittsburgh_public_schools__pittsburgh_10_15__75d52cf8,Pittsburgh_10-15.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,Increments for Steps 1-9 will receive increases at each step annually over the course of the five years of the tentative agreement.,2,high,
