# SD_of_Philadelphia_2021-2024.pdf — Master's or Equivalent (9/1/20 - 9/1/23)
"# population: Teacher, Apprentice Teacher, Pre-Professional Teacher, Dental Hygienist & Therapist, School Nurse and Nurse Practitioner | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,9/1/20,9/1/21,9/1/22,9/1/23
01,58296,59900,61846,63702
02,61107,62788,64828,66773
03,66520,68349,70570,72688
04,70578,72519,74875,77122
05,74325,76369,78851,81216
06,77865,80006,82606,85084
07,81303,83538,86253,88841
08,84632,86960,89786,92480
09,88099,90521,93463,96267
10,91705,94227,97290,100208
11,95461,98086,101274,104312
