page,engine,reason,agreement,disputed,dropped
1,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
2,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
3,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
4,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
5,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
6,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
7,apple_vision,figures disagree (0.714); figure-preferred engine,0.714,1,
8,olmocr2,figures agree (0.846); prose-preferred engine,0.846,0,
9,olmocr2,figures agree (0.769); prose-preferred engine,0.769,0,
10,apple_vision,only surviving engine,,0,olmocr2
11,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
12,olmocr2,figures agree (0.842); prose-preferred engine,0.842,0,
13,olmocr2,figures agree (0.944); prose-preferred engine,0.944,0,
14,olmocr2,figures agree (0.909); prose-preferred engine,0.909,0,
15,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
16,olmocr2,figures agree (1.0); prose-preferred engine,1.0,0,
17,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
18,apple_vision,figures disagree (0.714); figure-preferred engine,0.714,1,
19,olmocr2,figures agree (0.933); prose-preferred engine,0.933,0,
20,apple_vision,figures disagree (0.7); figure-preferred engine,0.7,1,
21,olmocr2,figures agree (0.778); prose-preferred engine,0.778,0,
22,apple_vision,figures disagree (0.714); figure-preferred engine,0.714,1,
23,olmocr2,figures agree (0.818); prose-preferred engine,0.818,0,
24,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
25,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
26,apple_vision,figures disagree (0.667); figure-preferred engine,0.667,1,
27,olmocr2,figures agree (0.769); prose-preferred engine,0.769,0,
28,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
29,apple_vision,figures disagree (0.5); figure-preferred engine,0.5,1,
30,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
31,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
32,apple_vision,figures disagree (0.444); figure-preferred engine,0.444,1,
33,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
34,olmocr2,figures agree (0.769); prose-preferred engine,0.769,0,
35,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
36,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
37,olmocr2,figures agree (0.864); prose-preferred engine,0.864,0,
38,olmocr2,figures agree (0.842); prose-preferred engine,0.842,0,
39,apple_vision,figures disagree (0.667); figure-preferred engine,0.667,1,
40,apple_vision,only surviving engine,,0,olmocr2
41,apple_vision,only surviving engine,,0,olmocr2
42,apple_vision,figures disagree (0.714); figure-preferred engine,0.714,1,
43,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
44,apple_vision,figures disagree (0.5); figure-preferred engine,0.5,1,
45,olmocr2,figures agree (0.846); prose-preferred engine,0.846,0,
46,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
47,apple_vision,figures disagree (0.417); figure-preferred engine,0.417,1,
48,apple_vision,figures disagree (0.692); figure-preferred engine,0.692,1,
49,olmocr2,figures agree (0.923); prose-preferred engine,0.923,0,
50,olmocr2,figures agree (0.944); prose-preferred engine,0.944,0,
51,apple_vision,only surviving engine,,0,olmocr2
52,apple_vision,figures disagree (0.643); figure-preferred engine,0.643,1,
53,apple_vision,figures disagree (0.5); figure-preferred engine,0.5,1,
54,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
55,apple_vision,figures disagree (0.714); figure-preferred engine,0.714,1,
56,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
57,apple_vision,figures disagree (0.5); figure-preferred engine,0.5,1,
58,apple_vision,figures disagree (0.333); figure-preferred engine,0.333,1,
59,apple_vision,figures disagree (0.667); figure-preferred engine,0.667,1,
60,olmocr2,figures agree (0.778); prose-preferred engine,0.778,0,
61,olmocr2,figures agree (0.889); prose-preferred engine,0.889,0,
62,olmocr2,figures agree (0.9); prose-preferred engine,0.9,0,
63,apple_vision,figures disagree (0.625); figure-preferred engine,0.625,1,
64,apple_vision,figures disagree (0.714); figure-preferred engine,0.714,1,
65,olmocr2,figures agree (0.778); prose-preferred engine,0.778,0,
66,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
67,olmocr2,figures agree (0.917); prose-preferred engine,0.917,0,
68,apple_vision,figures disagree (0.6); figure-preferred engine,0.6,1,
69,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
70,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
71,olmocr2,figures agree (0.778); prose-preferred engine,0.778,0,
72,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
73,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
74,apple_vision,figures disagree (0.667); figure-preferred engine,0.667,1,
75,olmocr2,figures agree (0.769); prose-preferred engine,0.769,0,
76,apple_vision,figures disagree (0.545); figure-preferred engine,0.545,1,
77,apple_vision,figures disagree (0.727); figure-preferred engine,0.727,1,
78,apple_vision,figures disagree (0.692); figure-preferred engine,0.692,1,
79,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
80,olmocr2,figures agree (0.938); prose-preferred engine,0.938,0,
81,olmocr2,figures agree (0.786); prose-preferred engine,0.786,0,
82,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
83,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
84,apple_vision,figures disagree (0.727); figure-preferred engine,0.727,1,
85,apple_vision,figures disagree (0.333); figure-preferred engine,0.333,1,
86,apple_vision,only surviving engine,,0,olmocr2
87,apple_vision,figures disagree (0.727); figure-preferred engine,0.727,1,
88,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
89,olmocr2,figures agree (0.778); prose-preferred engine,0.778,0,
90,apple_vision,figures disagree (0.625); figure-preferred engine,0.625,1,
91,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
92,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
93,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
94,olmocr2,figures agree (0.882); prose-preferred engine,0.882,0,
95,olmocr2,figures agree (0.857); prose-preferred engine,0.857,0,
96,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
97,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
98,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
99,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
100,apple_vision,figures disagree (0.7); figure-preferred engine,0.7,1,
101,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
102,apple_vision,figures disagree (0.667); figure-preferred engine,0.667,1,
103,apple_vision,figures disagree (0.714); figure-preferred engine,0.714,1,
104,apple_vision,figures disagree (0.5); figure-preferred engine,0.5,1,
105,apple_vision,figures disagree (0.6); figure-preferred engine,0.6,1,
106,apple_vision,figures disagree (0.7); figure-preferred engine,0.7,1,
107,olmocr2,figures agree (0.778); prose-preferred engine,0.778,0,
108,apple_vision,figures disagree (0.333); figure-preferred engine,0.333,1,
109,olmocr2,figures agree (0.75); prose-preferred engine,0.75,0,
110,apple_vision,only surviving engine,,0,olmocr2
111,apple_vision,only surviving engine,,0,olmocr2
112,apple_vision,only surviving engine,,0,olmocr2
113,apple_vision,only surviving engine,,0,olmocr2
114,apple_vision,only surviving engine,,0,olmocr2
115,apple_vision,figures disagree (0.714); figure-preferred engine,0.714,1,
116,olmocr2,figures agree (0.8); prose-preferred engine,0.8,0,
117,olmocr2,figures agree (0.917); prose-preferred engine,0.917,0,
118,apple_vision,only surviving engine,,0,olmocr2
119,apple_vision,only surviving engine,,0,olmocr2
120,apple_vision,only surviving engine,,0,olmocr2
121,apple_vision,only surviving engine,,0,olmocr2
122,apple_vision,only surviving engine,,0,olmocr2
123,olmocr2,figures agree (0.897); prose-preferred engine,0.897,0,
124,olmocr2,figures agree (0.784); prose-preferred engine,0.784,0,
125,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
126,apple_vision,only surviving engine,,0,olmocr2
127,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
128,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
129,olmocr2,figures agree (0.778); prose-preferred engine,0.778,0,
130,olmocr2,figures agree (0.875); prose-preferred engine,0.875,0,
131,apple_vision,figures disagree (0.667); figure-preferred engine,0.667,1,
132,apple_vision,only surviving engine,,0,olmocr2
133,apple_vision,figures disagree (0.0); figure-preferred engine,0.0,1,
134,olmocr2,figures agree (0.917); prose-preferred engine,0.917,0,
135,apple_vision,only surviving engine,,0,olmocr2
136,apple_vision,figures disagree (0.636); figure-preferred engine,0.636,1,
137,olmocr2,figures agree (0.833); prose-preferred engine,0.833,0,
138,olmocr2,figures agree (0.963); prose-preferred engine,0.963,0,
139,olmocr2,figures agree (0.862); prose-preferred engine,0.862,0,
140,olmocr2,figures agree (0.972); prose-preferred engine,0.972,0,
141,olmocr2,figures agree (0.938); prose-preferred engine,0.938,0,
142,olmocr2,figures agree (0.909); prose-preferred engine,0.909,0,
