P10   Columbus_Education_Association_2022-2025.pdf   page 102
title          : 902.02
employee_group : (not labelled - SOM endpoint was down)
cells          : 192
Vision agree   : 0.698

step                          Pre-License Bachelor’s Degree                    Bachelor’s Degree      150 Hours and Bachelor’s Degree                      Master’s Degree  Master’s Degree + 30 Semester Hours                                Ph.D.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0                                                    39,310                               49,321                               50,750                               54,697                               55,732                               59,299
1                                                    39,310                               49,321                               50,750                               55,782                               56,866                               60,506
2                                                    40,888                               51,294                               52,773                               56,866                               58,001                               61,713
3                                                    42,513                               53,365                               54,893                               59,135                               60,320                               64,179
4                                                    44,241                               55,487                               57,064                               61,504                               62,687                               66,698
5                                                    45,967                               57,704                               59,383                               63,969                               65,200                               69,374
6                                                    47,841                               60,022                               61,750                               66,534                               67,816                               72,156
7                                                    47,841                               62,390                               64,216                               69,195                               70,529                               75,041
8                                                    47,841                               64,906                               66,779                               71,958                               73,389                               78,085
9                                                    47,841                               67,521                               69,442                               74,820                               76,298                               81,181
10                                                   47,841                               70,183                               72,205                               77,827                               79,355                               84,435
11                                                   47,841                               72,994                               75,114                               80,935                               82,512                               87,793
12                                                   47,841                               75,954                               78,124                               84,191                               85,816                               91,309
13                                                   47,841                               78,961                               81,230                               87,543                               89,269                               94,983
14                                                   47,841                               82,119                               84,486                               91,046                               92,820                               98,760
15                                                   47,841                               85,423                               87,888                               94,821                               96,695                              102,875
16                                                   47,841                               85,631                               88,098                               95,156                               97,029                              103,211
17                                                   47,841                               85,842                               88,308                               95,366                               97,239                              103,419
18                                                   47,841                               85,842                               88,308                               95,366                               97,239                              103,419
19                                                   47,841                               86,792                               89,257                               96,313                               98,190                              104,369
20                                                   47,841                               87,738                               90,204                               97,263                               99,137                              105,318
21                                                   47,841                               87,738                               90,204                               97,263                               99,137                              105,318
22                                                   47,841                               87,738                               90,204                               97,263                               99,137                              105,318
23                                                   47,841                               89,193                               91,660                               98,718                              100,593                              106,773
24                                                   47,841                               90,651                               93,117                              100,173                              102,049                              108,229
25                                                   47,841                               90,651                               93,117                              100,173                              102,049                              108,229
26                                                   47,841                               90,651                               93,117                              100,173                              102,049                              108,229
27                                                   47,841                               92,663                               95,129                              102,187                              104,063                              110,242
28                                                   47,841                               94,676                               97,141                              104,199                              106,074                              112,254
29                                                   47,841                               94,676                               97,141                              104,199                              106,074                              112,254
30                                                   47,841                               96,782                               99,247                              106,306                              108,182                              114,361
31                                                   47,841                               98,887                              101,353                              108,411                              110,284                              116,466
