P12   ATF-Negotiated-Agreement_2018-19.pdf   page 73
title          : Appendix A.2 2018-2019 Salary Matrix AT-2 Licensure Level 2 Teachers & Librarians and Career Pathway
employee_group : (not labelled - SOM endpoint was down)
cells          : 266
Vision agree   : 0.895

step                            BA       BA+15       BA+45          MA       MA+15       MA+45   Doctorate
----------------------------------------------------------------------------------------------------------
1                           44,000      44,198      44,397      44,597      44,797      44,999      45,201
2                           44,001      44,199      44,398      44,598      44,798      45,000      45,202
3                           44,002      44,200      44,399      44,599      44,799      45,001      45,203
4                           44,003      44,201      44,400      44,600      44,800      45,002      45,204
5                           44,004      44,202      44,401      44,601      44,801      45,003      45,205
6                           44,005      44,203      44,496      44,701      44,901      45,038      45,220
7                           44,006      44,204      44,601      44,702      45,096      45,303      45,320
8                           44,007      44,205      44,606      44,703      45,097      45,304      45,465
9                           44,008      44,206      44,611      44,704      45,098      45,305      45,510
10                          44,009      44,207      44,616      44,705      45,099      45,306      45,555
11                          44,010      44,208      44,617      44,706      45,100      45,307      45,600
12                          44,011      44,209      44,618      44,707      45,101      45,308      45,645
13                          44,012      44,210      44,619      44,708      45,102      45,309      45,690
14                          44,013      44,290      44,620      44,709      45,103      46,049      46,090
15                          44,398      44,615      44,945      45,059      45,493      46,050      46,490
16                          44,399      44,616      44,946      45,060      45,494      46,051      47,535
17                          44,400      44,617      45,496      45,560      46,064      46,071      47,536
18                          44,401      45,167      45,497      45,561      46,065      46,072      47,981
19                          44,402      45,168      46,262      46,271      46,855      47,417      47,982
20                          44,403      45,713      46,263      46,272      46,856      47,418      47,983
21                          44,404      45,714      46,264      46,273      46,857      47,419      47,984
22                          44,405      45,715      46,265      46,274      48,002      49,964      49,984
23                          44,406      45,716      48,000      48,024      48,032      49,965      49,985
24                          44,946      45,717      48,001      48,025      48,347      50,820      50,985
25                          46,731      47,422      48,002      48,026      50,547      50,821      50,986
26                          46,732      47,423      48,003      48,027      50,548      50,822      50,987
27                          46,733      47,424      48,004      48,028      50,549      50,823      53,632
28                          46,734      47,425      49,409      49,428      50,550      50,824      53,633
29                          46,735      47,426      49,410      49,429      50,551      53,769      54,233
30                          46,736      50,351      50,440      50,454      50,552      54,084      54,234
31                          47,626      50,352      50,441      50,455      50,657      54,085      54,235
32                          47,627      50,353      50,442      50,456      50,658      54,086      54,236
33                          50,352      50,354      51,122      51,181      51,383      54,087      54,237
34                          50,353      50,379      51,907      51,931      51,983      54,088      54,238
35                          50,354      51,149      51,908      52,306      52,583      54,089      54,239
36                          50,355      52,424      54,553      54,566      54,583      59,714      59,864
37                          50,356      53,694      54,554      54,567      57,933      60,999      61,149
38                          50,357      54,964      57,124      57,142      58,533      61,099      61,150
