P11   Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf   page 402
title          : t‐UTLACollectiveBargainingAgreement,ArticlesXIV,XV,andAppendixEforrulesandrequirementsregardingsalar
employee_group : (not labelled - SOM endpoint was down)
cells          : 300
Vision agree   : 0.898

step                             1                       2           3           4           5
----------------------------------------------------------------------------------------------
10D E basis               3,608.94      53,531    3,809.70    4,016.15    4,239.69    4,460.92
B basis                   4,331.66      64,597    4,579.47    4,829.34    5,104.08    5,383.09
C basis                   3,998.44      59,628    4,227.16    4,457.91    4,711.47    4,968.96
11D E basis               3,710.53      55,038    3,918.03    4,127.97    4,349.21    4,586.47
12D E basis               3,809.70      56,571    4,016.15    4,239.69    4,460.92    4,714.23
13D E basis               3,918.03      58,186    4,127.97    4,349.21    4,586.47    4,848.84
14D E basis               4,016.15      59,746    4,239.69    4,460.92    4,714.23    4,978.80
15D E basis               4,127.97      61,362    4,349.21    4,586.47    4,848.84    5,113.53
16D E basis               4,239.69      63,073    4,460.92    4,714.23    4,978.80    5,256.06
17D E basis               4,349.21      64,852    4,586.47    4,848.84    5,113.53    5,404.37
18D E basis               4,460.92      66,645    4,714.23    4,978.80    5,256.06    5,553.77
19D E basis               4,586.47      68,396    4,848.84    5,113.53    5,404.37    5,699.67
