P26   Columbus_Education_Association_2022-2025.pdf   page 103
title          : 902.03
employee_group : (not labelled - SOM endpoint was down)
cells          : 192
Vision agree   : 0.958

step                          Pre-License Bachelor’s Degree                    Bachelor’s Degree      150 Hours and Bachelor’s Degree                      Master’s Degree  Master’s Degree + 30 Semester Hours                                Ph.D.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0                                                    40,882                               51,294                               52,780                               56,884                               57,961                               61,671
1                                                    40,882                               51,294                               52,780                               58,014                               59,141                               62,926
2                                                    42,523                               53,346                               54,884                               59,141                               60,321                               64,181
3                                                    44,214                               55,500                               57,089                               61,501                               62,733                               66,746
4                                                    46,010                               57,707                               59,347                               63,964                               65,195                               69,366
5                                                    47,806                               60,013                               61,758                               66,528                               67,808                               72,149
6                                                    49,755                               62,423                               64,220                               69,195                               70,529                               75,042
7                                                    49,755                               64,886                               66,784                               71,963                               73,350                               78,043
8                                                    49,755                               67,502                               69,450                               74,836                               76,324                               81,208
9                                                    49,755                               70,222                               72,220                               77,812                               79,350                               84,428
10                                                   49,755                               72,990                               75,094                               80,940                               82,529                               87,812
11                                                   49,755                               75,914                               78,118                               84,172                               85,812                               91,305
12                                                   49,755                               78,992                               81,249                               87,558                               89,249                               94,961
13                                                   49,755                               82,120                               84,480                               91,044                               92,840                               98,782
14                                                   49,755                               85,404                               87,865                               94,688                               96,532                              102,710
15                                                   49,755                               88,840                               91,403                               98,613                              100,563                              106,990
16                                                   49,755                               89,057                               91,622                               98,962                              100,910                              107,339
17                                                   49,755                               89,276                               91,841                               99,180                              101,129                              107,556
18                                                   49,755                               89,276                               91,841                               99,180                              101,129                              107,556
19                                                   49,755                               90,264                               92,827                              100,166                              102,117                              108,544
20                                                   49,755                               91,248                               93,813                              101,153                              103,103                              109,530
21                                                   49,755                               91,248                               93,813                              101,153                              103,103                              109,530
22                                                   49,755                               91,248                               93,813                              101,153                              103,103                              109,530
23                                                   49,755                               92,761                               95,327                              102,666                              104,617                              111,044
24                                                   49,755                               94,277                               96,842                              104,180                              106,131                              112,558
25                                                   49,755                               94,277                               96,842                              104,180                              106,131                              112,558
26                                                   49,755                               94,277                               96,842                              104,180                              106,131                              112,558
27                                                   49,755                               96,369                               98,934                              106,275                              108,225                              114,652
28                                                   49,755                               98,463                              101,026                              108,367                              110,317                              116,744
29                                                   49,755                               98,463                              101,026                              108,367                              110,317                              116,744
30                                                   49,755                              100,653                              103,216                              110,558                              112,509                              118,935
31                                                   49,755                              102,843                              105,408                              112,747                              114,696                              121,124
