P18   ATF-Negotiated-Agreement_2018-19.pdf   page 72
title          : e Note: Salary figures presented on the following matrices are rounded up or down to the nearest dol
employee_group : (not labelled - SOM endpoint was down)
cells          : 140
Vision agree   : 0.857

step                            BA       BA+15       BA+45          MA       MA+15       MA+45   Doctorate
----------------------------------------------------------------------------------------------------------
1                           36,000      36,131      36,263      36,396      36,528      36,662      36,796
2                           36,001      36,132      36,264      36,397      36,529      36,663      36,797
3                           36,002      36,133      36,265      36,398      36,530      36,664      36,798
4                           36,003      36,134      36,266      36,399      36,531      36,665      36,799
5                           36,004      36,135      36,267      36,400      36,532      36,666      36,800
6                           36,005      36,136      36,268      36,401      36,533      36,667      36,801
7                           36,006      36,137      36,269      36,402      36,534      36,668      36,802
8                           36,007      36,138      36,270      36,403      36,535      36,669      36,803
9                           36,008      36,139      36,271      36,404      36,536      36,670      36,804
10                          36,009      36,140      36,272      36,405      36,537      36,671      36,805
11                          36,010      36,141      36,273      36,406      36,538      36,672      36,806
12                          36,011      36,142      36,274      36,407      36,539      36,673      36,807
13                          36,012      36,143      36,275      36,408      36,540      36,674      36,808
14                          36,013      36,144      36,566      36,908      36,941      37,076      37,108
15                          36,014      36,145      36,567      36,909      36,942      37,077      37,109
16                          36,654      36,675      36,893      36,910      36,943      37,078      37,110
17                          36,655      36,676      36,894      36,911      36,944      37,079      37,111
18                          36,656      36,677      36,895      36,912      36,945      37,080      37,112
19                          36,657      36,678      36,896      36,913      36,946      37,081      37,113
20                          36,658      36,679      36,897      36,914      36,947      37,082      37,114
