P05   Pittsburgh_10-15.pdf   page 30
title          : Preschool Teachers
employee_group : (not labelled - SOM endpoint was down)
cells          : 140
Vision agree   : could not read this page

step                         June 2010  September 2010  September 2011  September 2012  September 2013  September 2014  Total Increase
--------------------------------------------------------------------------------------------------------------------------------------
1                               39,210          39,710          40,210          40,710          41,210          41,710          10,220
2                               41,110          41,610          42,110          42,610          43,110          43,610           9,560
3                               42,800          43,300          43,800          44,300          44,800          45,300           9,120
4                               44,100          44,600          45,100          45,600          46,100          46,600           9,190
5                               45,500          46,000          46,500          47,000          47,500          48,000          12,940
6                               46,930          47,430          47,930          48,430          48,930          49,430          11,510
7                               48,170          48,670          49,170          49,670          50,170          50,670          10,270
8                               49,420          49,920          50,420          50,920          51,420          51,920           9,020
9                               50,790          51,290          51,790          52,290          52,790          53,290           7,650
10                              55,940          56,440          56,940          57,440          57,940          58,440           2,500
1-                              37,120          37,620          38,120          38,620          39,120          39,620           9,870
2-                              38,850          39,350          39,850          40,350          40,850          41,350           9,450
3-                              40,300          40,800          41,300          41,800          42,300          42,800           9,350
4-                              41,620          42,120          42,620          43,120          43,620          44,120           9,510
5-                              43,070          43,570          44,070          44,570          45,070          45,570          12,180
6-                              44,490          44,990          45,490          45,990          46,490          46,990          10,760
7-                              45,800          46,300          46,800          47,300          47,800          48,300           9,450
8-                              47,150          47,650          48,150          48,650          49,150          49,650           8,100
9-                              48,630          49,130          49,630          50,130          50,630          51,130           6,620
10-                             52,750          53,250          53,750          54,250          54,750          55,250           2,500
