P16   Pittsburgh_10-15.pdf   page 28
title          : Master's Degree, Master's Equivalent, Bachelor's + 30 Credits
employee_group : (not labelled - SOM endpoint was down)
cells          : 140
Vision agree   : could not read this page

step                         June 2010  September 2010  September 2011  September 2012  September 2013  September 2014  Total Increase
--------------------------------------------------------------------------------------------------------------------------------------
1-                              31,940          32,440          32,940          33,440          33,940          34,440          14,240
2-                              35,030          35,530          36,030          36,530          37,030          37,530          12,500
3-                              38,120          38,620          39,120          39,620          40,120          40,620          10,850
4-                              41,210          41,710          42,210          42,710          43,210          43,710           9,200
5-                              42,450          42,950          43,450          43,950          44,450          44,950          11,770
6-                              43,680          44,180          44,680          45,180          45,680          46,180          10,540
7-                              45,030          45,530          46,030          46,530          47,030          47,530           9,190
8-                              46,470          46,970          47,470          47,970          48,470          48,970           7,750
9-                              47,910          48,410          48,910          49,410          49,910          50,410           6,310
10-                             51,720          52,220          52,720          53,220          53,720          54,220           2,500
