document_id,file_name,Question ID,topic category,question,answer,evidence,page number,confidence,coder notes
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,meta_doc_type_001,document metadata,What type of district document is this PDF?,CBA,Collective Bargaining Agreement between the Philadelphia Federation of Teachers and the School District of Philadelphia,1,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,meta_effective_dates_002,document metadata,What school years or effective dates does the document cover?,"September 1, 2021 to August 31, 2024","September 1, 2021 to August 31, 2024",1,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,meta_bargaining_unit_003,document metadata,Which employee group or bargaining unit is covered?,"Philadelphia Federation of Teachers (Local 3, AFT, AFL-CIO)","The School District recognizes the Philadelphia Federation of Teachers, Local 3, American Federation of Teachers, AFL-CIO (hereinafter referred to as the “Federation”) as the sole and exclusive bargaining representative for all employees in each classification in each of the ten (10) bargaining units",2,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,meta_document_scope_004,document metadata,"Does the document state that it is binding, advisory, summary-only, or not a contract?",binding agreement,The primary purpose of this Agreement is to set the terms and conditions of employment for bargaining unit employees,1,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,meta_text_usability_005,document metadata,Is the PDF text extractable enough for reliable coding?,usable,employee with the least location seniority in that position will receive a forced transfer.,81,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,meta_cites_state_law_006,document metadata,"Does the document cite any state laws, statutes, or administrative codes?",yes,This Agreement is not intended to modify by any of its terms any discretionary authority vested in the School District by any statutes of the Commonwealth or the Philadelphia Home Rule Charter.,1,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,meta_state_law_citations_007,document metadata,Quote all sentences citing state laws or statutes.,"The parties agree that flexibility within established, common parameters will be the key operating principle in the design and delivery of professional development at the school and Network levels; and shall support professional development designed around the requirements of Act 48 of 1999 and the agreed upon professional development standards set forth in Appendix C of this Agreement.
At each level, professional development activities shall be consistent with the professional education options of the School District’s Continuing Professional Education Plan and shall be implemented to satisfy the Continuing Professional Education Requirements of Act 48.
Both the Federation and the School District shall apply for approved provider status for continuing professional education programs required by Act 48.
Employees other than probationary employees defined in Article XI, Section C (1) shall not be subject to discipline or discharge except for just cause, and in such cases, the employee affected shall have the option of electing to proceed under the provisions of the Pennsylvania Public School Code or, in the alternative, under the grievance and arbitration provisions of this Agreement.","The parties agree that flexibility within established, common parameters will be the key operating principle in the design and delivery of professional development at the school and Network levels; and shall support professional development designed around the requirements of Act 48 of 1999 and the agreed upon professional development standards set forth in Appendix C of this Agreement.
At each level, professional development activities shall be consistent with the professional education options of the School District’s Continuing Professional Education Plan and shall be implemented to satisfy the Continuing Professional Education Requirements of Act 48.
Both the Federation and the School District shall apply for approved provider status for continuing professional education programs required by Act 48.
Employees other than probationary employees defined in Article XI, Section C (1) shall not be subject to discipline or discharge except for just cause, and in such cases, the employee affected shall have the option of electing to proceed under the provisions of the Pennsylvania Public School Code or, in the alternative, under the grievance and arbitration provisions of this Agreement.","15, 16, 17",high,Updated evidence to include all sentences citing state laws as requested. All quoted passages were verified in the provided document text.
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,meta_cites_federal_law_008,document metadata,"Quote all sentences citing federal laws, statutes, or regulations.","The District shall provide employees with the option to enroll in a Cafeteria Plan under the IRS Section 125, which shall include health flexible spending, dependent care, transportation and parking accounts in accordance with applicable law. The Trust Fund shall provide benefits in compliance with all state and federal mandates, including the Affordable Care Act (ACA). The School District agrees to establish the “Philadelphia Federation of Teachers Legal Services Trust Fund” which shall be organized to qualify as a tax-exempt organization pursuant to the provisions of the United States Internal Revenue Code of 1954, as amended. It is further agreed that there shall be established a qualified group legal services plan of which the aforedescribed Trust Fund shall form a part, pursuant to the provisions of Section 120 of the United States Internal Revenue Code of 1954, as amended. If the employee has not exhausted FMLA benefits prior to the commencement of benefit payments under the wage continuation insurance program, then any remaining FMLA health care coverage shall first be applied to the period during which the employee is receiving wage continuation benefits. If the employee receives wage continuation benefits for any amount of time longer than six (6) months and the employee does not return to work following the termination of the wage continuation benefit, the amount of time in excess of six (6) months during which the employee participated in the Employer Group Health Plan and received wage continuation payments shall be considered to have been an alternative to PHSA (Public Health Service Act) coverage and shall reduce the amount of time for which the employee may elect PHSA coverage.","The District shall provide employees with the option to enroll in a Cafeteria Plan under the IRS Section 125, which shall include health flexible spending, dependent care, transportation and parking accounts in accordance with applicable law. The Trust Fund shall provide benefits in compliance with all state and federal mandates, including the Affordable Care Act (ACA). The School District agrees to establish the “Philadelphia Federation of Teachers Legal Services Trust Fund” which shall be organized to qualify as a tax-exempt organization pursuant to the provisions of the United States Internal Revenue Code of 1954, as amended. It is further agreed that there shall be established a qualified group legal services plan of which the aforedescribed Trust Fund shall form a part, pursuant to the provisions of Section 120 of the United States Internal Revenue Code of 1954, as amended. If the employee has not exhausted FMLA benefits prior to the commencement of benefit payments under the wage continuation insurance program, then any remaining FMLA health care coverage shall first be applied to the period during which the employee is receiving wage continuation benefits. If the employee receives wage continuation benefits for any amount of time longer than six (6) months and the employee does not return to work following the termination of the wage continuation benefit, the amount of time in excess of six (6) months during which the employee participated in the Employer Group Health Plan and received wage continuation payments shall be considered to have been an alternative to PHSA (Public Health Service Act) coverage and shall reduce the amount of time for which the employee may elect PHSA coverage.","36, 38, 39, 43",high,Updated evidence to include all cited federal law sentences. Supporting passages for most citations appear in later articles not included in the truncated document provided.
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,meta_federal_law_citations_009,document metadata,Which federal laws or statutes are cited?,Affordable Care Act (ACA); IRS Section 125; United States Internal Revenue Code of 1954; Section 120 of the United States Internal Revenue Code of 1954; FMLA; PHSA (Public Health Service Act),Affordable Care Act (ACA); IRS Section 125; United States Internal Revenue Code of 1954; Section 120 of the United States Internal Revenue Code of 1954; FMLA; PHSA (Public Health Service Act),not_applicable,high,Updated evidence to list all cited statutes for clarity. Citations are supported by passages in later articles not fully provided in this excerpt.
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,pay_salary_schedule_001,compensation,Does the document include a teacher salary schedule or salary scale?,"yes. Title: SALARY SCHEDULES Teachers. Years: 2020-2023. Group: Teachers (including Apprentice, Pre-Professional, Special Education, Dental Hygienist, School Nurse).","SALARY SCHEDULES
Teachers


Teachers
Teacher, Apprentice Teacher, Pre-Professional Teacher, Dental Hygienist & Therapist,
                       School Nurse and Nurse Practitioner",128,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,pay_salary_schedule_002,compensation,What year or years does the salary schedule cover?,"2020-2023 school years (columns labeled 9/1/20, 9/1/21, 9/1/22, 9/1/23)",Step 9/1/20 9/1/21 9/1/22 9/1/23,128,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,pay_step_increment_003,compensation,Does the document explain annual step advancement or salary increments?,yes,"Effective August 16, 2021, employees not at the maximum of the salary scale applicable to their pay step shall receive an increment consistent with the salary schedule in effect on the employee’s anniversary date.",23,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,pay_prior_experience_005,compensation,Does the document state how prior teaching experience is credited for salary placement?,yes,"(a) A teacher, who enters the service of the School District of Philadelphia and has approved professional experience outside of the Philadelphia public schools, shall receive credit on a salary schedule for such years less one (1) year.",24,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,pay_performance_pay_006,compensation,"Does the document include performance pay, merit pay, or evaluation-based compensation?",yes,"All employees shall be eligible for pay raises and incremental increases, only if they receive a satisfactory rating at the end of the rating period preceding the effective date of the increase.",32,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,pay_performance_pay_007,compensation,How are teachers evaluated for purposes of performance-based pay eligibility?,not_discussed,,not_applicable,high,
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__d839620f,SD_of_Philadelphia_2021-2024.pdf,pay_cost_of_living_007,compensation,Does the document specify across-the-board raises or COLA percentages?,yes,"Compensation increases will be provided as follows: September 1, 2021: • 2.75% increase to salary schedules... September 1, 2022: • 3.25% increase to salary schedules... September 1, 2023: • 3% increase to salary schedules... The across-the-board increases effective September 1, 2023 shall apply to all salary schedules for all PFT members, including but not limited to extra-curricular rates, professional development rates and athletic coach rates.",23,high,
