# PEA_Contract_2019-2022_(Teachers).pdf — Schedule 193 Day Experience-Based Salary Schedule (To be used for initial placement on the Professional Learning-Based Scale only) (2019-2020)
# population: Teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,B,M,MI,D
1,38817,42515,44363,46212
2,40666,44363,46212,48061
3,42515,46212,48061,49910
4,44363,48061,49910,51755
5,45843,49910,51755,53606
6,47322,51388,53235,55084
7,48800,52866,54715,56563
8,50278,54345,56192,58043
9,51755,55825,57672,59520
10,53235,57303,59152,60999
11,54715,58781,60630,62479
12,56192,60261,62108,63956
13,57672,61737,63588,65436
14,59152,63217,65066,66915
15,60445,64512,66359,68208
16,61737,65805,67655,69502
17,63034,67098,68948,70796
18,63034,68394,70241,72090
19,63034,68394,71536,73385
20,63034,68394,71536,73385
21,64142,69502,72645,74494
22,64142,69502,72645,74494
23,64142,69502,72645,74494
24,64142,69502,72645,74494
25,64142,69502,72645,74494
26,65066,70427,73568,75419
27,65066,70427,73568,75419
28,65066,70427,73568,75419
29,65066,70427,73568,75419
30,65066,70427,73568,75419
31,66175,71536,74677,76527
