# PEA_Contract_2019-2022_(Teachers).pdf — Schedule 183 Day Professional Learning-Based Salary Schedule (2021-2022)
# population: Teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,Lane I,Lane II,Lane III,Lane IV,Lane V
1,41617,48430,58189,67950,77708
2,41617,49902,59662,69420,79181
3,41617,51375,61136,70895,80656
4,43089,52849,62608,72368,82127
5,44562,54321,64082,73841,83600
6,46036,55795,65554,75314,85073
7,47509,57268,67027,76788,86547
8,48982,58741,68501,78261,88021
9,50455,60215,69974,79733,89493
10,51928,61688,71446,81207,90967
