"# Pittsburgh_10-15.pdf — Preschool Teachers (Early Intervention Special Education), Level III Salary Schedules (2010-2015)"
"# population: Early Intervention Special Education, Level III | is_teacher_schedule: True"
# validation_warnings: ocr_unreliable: contains values far above a plausible salary — the OCR of this table may be destroyed; manual review required | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,"37,120 ->","37,620 ->","38,120 ->","38,620 ->","39,120 ->","39,620","9,870 / 26.59%"
2-,"38,850 ->","39,350 ->","39,850 ->","40,350 ->","40,850 —","41,350","9,450 / 24.32%"
3-,"40,300 ->","40,800 ->","41,300 ->","41,800 ->","42,300 —","42,800","9,350 / 23.20%"
4-,"41,620 ->","42,120 ->","42,620 ->","43,120 ->","43,620 —","44,120","9,510 / 22.85%"
5-,"43,070 ->","43,570 ->","44,070 ->","44,570 ->","45,070 —","45,570","12,180 / 28.28%"
6-,"44,490 ->","44,990 ->","45,490 ->","45,990 ->","46,490 —","46,990","10,760 / 24.19%"
7-,"45,800 ->","46,300 ->","46,800 ->","47,300 ->","47,800 —","48,300","9,450 / 20.63%"
8-,"47,150 ->","47,650 ->","48,150 ->","48,650 ->","49,150 —","49,650","8,100 / 17.18%"
9-,"48,630 ->","49,130 ->","49,630 ->","50,130 ->","50,630 —","51,130","6,620 / 13.61%"
10-,"52,750 ->","53,250 ->","53,750 ->","54,250 ->","54,750 —","55,250","2,500 / 4.74%"
