# 2023-2027-HSTA-CBA-FINAL_07_20_2023.pdf — EXHIBIT EE TEACHER'S ANNUAL RATE SALARY SCHEDULE (12-MONTH) (2026-2027)
# population: Teachers (Class II - VIII) | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,CLASS II TEACHER,CLASS III TEACHER,CLASS IV TEACHER,CLASS V TEACHER,CLASS VI TEACHER,CLASS VII TEACHER,CLASS VIII TEACHER
14B,"94,241","101,778","105,855","110,085","114,489","121,357","126,211"
14A,"88,904","96,017","99,861","103,854","108,011","114,489","119,068"
14,"86,316","93,221","96,952","100,832","104,863","111,157","115,603"
13,"83,801","90,508","94,127","97,892","101,808","107,916","112,233"
12,"81,359","87,872","91,386","95,041","98,843","104,773","108,964"
11,"78,993","85,312","88,725","92,271","95,965","101,723","105,791"
10,"76,690","82,827","86,140","89,583","93,170","98,758","102,708"
9,"74,458","80,414","83,630","86,977","90,455","95,882","99,718"
8,"72,290","78,071","81,195","84,439","87,820","93,091","96,815"
7,"70,182","75,800","78,831","81,983","85,261","90,376","93,991"
6,"68,140","73,593","76,536","79,596","82,779","87,747","91,257"
5,"66,154","71,447","74,306","77,277","80,368","85,189","88,596"
(Entry Level) 4,"64,226","69,366","72,142","75,026","78,027","82,707","86,015"
