# 72-07.pdf — DAVIS COUNTY SCHOOL DISTRICT SENIOR HIGH COACHING EXTRA COMPENSATION FOR EXTRA DUTIES 2008-2009 (2008-2009)
# population: Senior High Coaches | is_teacher_schedule: False
step,Coaches' Extra Compensation,Assistants' Extra Compensation
Athletic Director,4758.00,
Football,2717.00,1820.00
Basketball,2717.00,1820.00
Wrestling,2445.00,1638.00
Drill Team Director,2445.00,
Swimming,2173.00,1456.00
Volleyball,1766.00,1183.00
Baseball,1766.00,1183.00
Track and Field,1766.00,1183.00
Softball,1766.00,1183.00
Soccer,1766.00,1183.00
Tennis,1087.00,
Golf,1087.00,
Cross Country,1087.00,
