# 69.pdf — Appendix A-1 Salary Index Factors FY2009 (FY2009)
# population: teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,BA,BA+15,BA+36,MA,BA+51,MA+15,BA+66,MA+30
1,36487,37946,40136,40136,42690,42690,45244,45244
2,37946,39771,42142,42142,44514,44514,47068,47068
3,38494,40501,43128,43128,45974,45974,48893,48893
4,40865,42142,45244,45244,47433,47433,51082,51082
5,42325,43784,46430,46430,49257,49257,52906,52906
6,43584,45609,48254,48254,51082,51082,54731,54731
7,43584,47068,51082,51082,52906,52906,56555,56555
8,45211,49987,52906,52906,54731,54731,58379,58379
9,50115,51082,54731,54731,57649,57649,60568,60568
10,,54347,60204,60204,60933,60933,63487,63487
11,,,,62758,63487,63487,64947,64947
12,,,,,,65308,67136,67136
13,,,,,,,,69541
14,,,,,,,,70621
15,,,,,,,,72974
