# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Maximum Rates With Career Increments (2014-2015)
# population: Teachers (T) | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,Base Salary,MA Degree,DR Degree
"First Career Increment (completed 27T14)* Pay Scale Group C1, Pay Scale Level 15-19 C Basis",78025,78609,79193
"First Career Increment (completed 27T14)* Pay Scale Group C1, Pay Scale Level 15-19 B Basis",84528,85160,85793
"First Career Increment (completed 27T14)* Pay Scale Group C1, Pay Scale Level 15-19 A Basis",99873,100620,101367
"Second Career Increment (after 5 yrs on first C. I.) Pay Scale Group C2, Pay Scale Level 20-24 C Basis",78621,79205,79789
"Second Career Increment (after 5 yrs on first C. I.) Pay Scale Group C2, Pay Scale Level 20-24 B Basis",85173,85805,86438
"Second Career Increment (after 5 yrs on first C. I.) Pay Scale Group C2, Pay Scale Level 20-24 A Basis",100635,101382,102129
"Third Career Increment (after 5 yrs on second C. I.) Pay Scale Group C3, Pay Scale Level 25-29 C Basis",80702,81286,81870
"Third Career Increment (after 5 yrs on second C. I.) Pay Scale Group C3, Pay Scale Level 25-29 B Basis",87427,88059,88692
"Third Career Increment (after 5 yrs on second C. I.) Pay Scale Group C3, Pay Scale Level 25-29 A Basis",103298,104045,104792
"Fourth Career Increment (after 5 yrs on third C. I.) Pay Scale Group C4, Pay Scale Level 30+ C Basis",82062,82646,83230
"Fourth Career Increment (after 5 yrs on third C. I.) Pay Scale Group C4, Pay Scale Level 30+ B Basis",88901,89533,90166
"Fourth Career Increment (after 5 yrs on third C. I.) Pay Scale Group C4, Pay Scale Level 30+ A Basis",105040,105787,106534
