# Broward_Teachers_U_Contract_2011_2014.pdf — TEACHERS SUPPLEMENTARY PAY SCHEDULE - APPENDIX F 2011-2012 (2011-2012)
# population: Teachers | is_teacher_schedule: True
"# validation_warnings: no lane columns extracted — verify this is truly a single-column table (step → value only, with no separate degree, year, or category columns) | audit confirmed"
step,value
Head Soccer,2169
Head Wrestling,2169
Head Cheerleader,2169
Head Tennis(Boys' Team),1302
(Girls' Team),1302
Head Cross-Country (Boys' & Girls' Team),1579
Head Golf (Boys' & Girls' Team),1579
Head Drill Team,1735
Head Volleyball (Varsity & J.V. Team),2366
Head Swimming (Boys' & Girls' Team),2761
Gymnastics (Boys' & Girls' Team),1579
Water Polo (Boys' & Girls' Team),1579
Cheerleader (Varsity & J.V.),2761
Girls Head Flag Football (Varsity & J.V. Teams),2366
Head Tennis(Boys & Girls Team),1579
Assistant Football,2169
Assistant Basketball,1735
Assistant Wrestling,1735
Assistant Cheerleader,1302
Assistant Track,1735
Assistant Swimming,1302
Assistant Softball,1302
Assistant Soccer,1302
Assistant Baseball,1302
Swimming,1973
Volleyball (Varsity),1579
Volleyball (J. V.),1185
Golf,1185
Cross Country,1185
Water Polo,1185
Gymnastics,1185
Girls Flag Football (Varsity),1579
Girls Flag Football (Junior Varsity),1185
Band Director,2761
Vocal Director/Orchestra,2152
Music Assistant,1185
Department Chairperson and/or Team Leader,156
Guidance Director,2886
Student Government,1185
Academic Games,1185
Junior Honor Society,392
Inservice Facilitator 0-50 units,521
