time	elapsed_min	target_C	active	done	queued
15:27:01	0.0	5	5	0	10
15:27:31	0.5	5	5	0	10
15:28:01	1.0	5	5	0	10
15:28:31	1.5	5	5	0	10
15:29:01	2.0	5	5	0	10
15:29:31	2.5	5	5	0	10
15:30:01	3.0	5	5	0	10
15:30:31	3.5	5	5	0	10
15:31:01	4.0	5	5	0	10
15:31:31	4.5	5	5	0	10
15:32:01	5.0	5	5	1	9
15:32:31	5.5	5	5	1	9
15:33:01	6.0	5	5	1	9
15:33:31	6.5	5	5	1	9
15:34:01	7.0	5	5	1	9
15:34:32	7.5	5	5	1	9
15:35:02	8.0	5	5	1	9
15:35:32	8.5	5	5	1	9
15:36:02	9.0	5	5	1	9
15:36:32	9.5	5	5	1	9
15:37:02	10.0	5	5	1	9
15:37:32	10.5	5	5	1	9
15:38:02	11.0	5	5	1	9
15:38:32	11.5	5	5	1	9
15:39:02	12.0	5	5	1	9
15:39:32	12.5	5	5	1	9
15:40:02	13.0	5	5	1	9
15:40:32	13.5	5	5	1	9
15:41:02	14.0	5	5	1	9
15:41:32	14.5	5	5	1	9
15:42:02	15.0	5	5	1	9
15:42:32	15.5	5	5	1	9
15:43:02	16.0	5	5	1	9
15:43:32	16.5	5	5	1	9
15:44:02	17.0	5	5	1	9
15:44:32	17.5	5	5	1	9
15:45:02	18.0	5	5	1	9
15:45:32	18.5	5	5	1	9
15:46:02	19.0	5	5	1	9
15:46:32	19.5	5	5	1	9
15:47:02	20.0	5	5	1	9
15:47:32	20.5	5	5	1	9
15:48:02	21.0	5	5	1	9
15:48:32	21.5	5	5	1	9
15:49:02	22.0	5	5	1	9
15:49:32	22.5	5	5	1	9
15:50:02	23.0	5	5	1	9
15:50:32	23.5	5	5	1	9
15:51:02	24.0	5	5	1	9
15:51:33	24.5	5	5	1	9
15:52:03	25.0	5	5	1	9
15:52:33	25.5	5	5	1	9
15:53:03	26.0	5	5	1	9
15:53:33	26.5	5	5	1	9
15:54:03	27.0	5	5	1	9
15:54:33	27.5	5	5	1	9
15:55:03	28.0	5	5	1	9
15:55:33	28.5	5	5	1	9
15:56:03	29.0	5	5	1	9
15:56:33	29.5	5	5	1	9
15:57:03	30.0	5	5	1	9
15:57:33	30.5	5	5	1	9
15:58:03	31.0	5	5	1	9
15:58:33	31.5	5	5	1	9
15:59:03	32.0	5	5	1	9
15:59:33	32.5	5	5	1	9
16:00:03	33.0	5	5	1	9
16:00:33	33.5	5	5	1	9
16:01:03	34.0	5	5	1	9
16:01:33	34.5	5	5	1	9
16:02:03	35.0	5	5	1	9
16:02:33	35.5	5	5	1	9
16:03:03	36.0	5	5	1	9
16:03:33	36.5	5	5	1	9
16:04:03	37.0	5	5	1	9
16:04:33	37.5	5	5	1	9
16:05:03	38.0	5	5	1	9
16:05:33	38.5	5	5	1	9
16:06:03	39.0	5	5	1	9
16:06:33	39.5	5	5	1	9
16:07:03	40.0	5	5	1	9
16:07:33	40.5	5	5	1	9
16:08:03	41.0	5	5	1	9
16:08:33	41.5	5	5	1	9
16:09:03	42.0	5	5	1	9
16:09:33	42.5	5	5	1	9
16:10:03	43.0	5	5	1	9
16:10:34	43.5	5	5	1	9
16:11:04	44.0	5	5	1	9
16:11:34	44.5	5	5	1	9
16:12:04	45.0	5	5	1	9
16:12:34	45.5	5	5	1	9
16:13:04	46.0	5	5	1	9
16:13:34	46.5	5	5	1	9
16:14:04	47.0	5	5	1	9
16:14:34	47.5	5	5	1	9
16:15:04	48.0	5	5	1	9
16:15:34	48.5	5	5	1	9
16:16:04	49.0	5	5	1	9
16:16:34	49.5	5	5	1	9
16:17:04	50.0	5	5	1	9
16:17:34	50.5	5	5	1	9
16:18:04	51.0	5	5	1	9
16:18:34	51.5	5	5	1	9
16:19:04	52.0	5	5	1	9
16:19:34	52.6	5	5	1	9
16:20:04	53.1	5	5	1	9
16:20:34	53.6	5	5	1	9
16:21:04	54.1	5	5	1	9
16:21:34	54.6	5	5	1	9
16:22:04	55.1	5	5	1	9
16:22:34	55.6	5	5	1	9
16:23:04	56.1	5	5	1	9
16:23:34	56.6	5	5	1	9
16:24:04	57.1	5	5	1	9
16:24:34	57.6	5	5	1	9
16:25:04	58.1	5	5	1	9
16:25:34	58.6	5	5	1	9
16:26:04	59.1	5	5	1	9
16:26:34	59.6	5	5	1	9
16:27:04	60.1	5	5	1	9
16:27:34	60.6	5	5	1	9
16:28:04	61.1	5	5	1	9
16:28:35	61.6	5	5	1	9
16:29:05	62.1	5	5	1	9
16:29:35	62.6	5	5	1	9
16:30:05	63.1	5	5	1	9
16:30:35	63.6	5	5	1	9
16:31:05	64.1	5	5	1	9
16:31:35	64.6	5	5	1	9
16:32:05	65.1	5	5	1	9
16:32:35	65.6	5	5	1	9
16:33:05	66.1	5	5	1	9
16:33:35	66.6	5	5	1	9
16:34:05	67.1	5	5	1	9
16:34:35	67.6	5	5	1	9
16:35:05	68.1	5	5	1	9
16:35:35	68.6	5	5	1	9
16:36:05	69.1	5	5	1	9
16:36:35	69.6	5	5	1	9
16:37:05	70.1	5	5	1	9
16:37:35	70.6	5	5	1	9
16:38:05	71.1	5	5	1	9
16:38:35	71.6	5	5	1	9
16:39:05	72.1	5	5	1	9
16:39:35	72.6	5	5	1	9
16:40:05	73.1	5	5	1	9
16:40:35	73.6	5	5	1	9
16:41:05	74.1	5	5	1	9
16:41:35	74.6	5	5	1	9
16:42:05	75.1	5	5	1	9
16:42:35	75.6	5	5	1	9
16:43:05	76.1	5	5	1	9
16:43:35	76.6	5	5	1	9
16:44:05	77.1	5	5	1	9
16:44:35	77.6	5	5	1	9
16:45:05	78.1	5	5	1	9
16:45:35	78.6	5	5	1	9
16:46:06	79.1	5	5	1	9
16:46:36	79.6	5	5	1	9
16:47:06	80.1	5	5	1	9
16:47:36	80.6	5	5	1	9
16:48:06	81.1	5	5	1	9
16:48:36	81.6	5	5	1	9
16:49:06	82.1	5	5	1	9
16:49:36	82.6	5	5	1	9
16:50:06	83.1	5	5	1	9
16:50:36	83.6	5	5	1	9
16:51:06	84.1	5	5	1	9
16:51:36	84.6	5	5	1	9
16:52:06	85.1	5	5	1	9
16:52:36	85.6	5	5	1	9
16:53:06	86.1	5	5	1	9
16:53:36	86.6	5	5	1	9
16:54:06	87.1	5	5	1	9
16:54:36	87.6	5	5	1	9
16:55:06	88.1	5	5	2	8
16:55:36	88.6	5	5	2	8
16:56:06	89.1	5	5	2	8
16:56:36	89.6	5	5	2	8
16:57:06	90.1	5	5	2	8
16:57:36	90.6	5	5	2	8
16:58:06	91.1	5	5	2	8
16:58:36	91.6	5	5	2	8
16:59:06	92.1	5	5	2	8
16:59:36	92.6	5	5	2	8
17:00:06	93.1	5	5	2	8
17:00:36	93.6	5	5	2	8
17:01:06	94.1	5	5	2	8
17:01:36	94.6	5	5	2	8
17:02:06	95.1	5	5	2	8
17:02:36	95.6	5	5	2	8
17:03:06	96.1	5	5	2	8
17:03:37	96.6	5	5	3	7
17:04:07	97.1	5	5	3	7
17:04:37	97.6	5	5	3	7
17:05:07	98.1	5	5	3	7
17:05:37	98.6	5	5	3	7
17:06:07	99.1	5	5	3	7
17:06:37	99.6	5	5	3	7
17:07:07	100.1	5	5	3	7
17:07:37	100.6	5	5	3	7
17:08:07	101.1	5	5	3	7
17:08:37	101.6	5	5	3	7
17:09:07	102.1	5	5	3	7
17:09:37	102.6	5	5	3	7
17:10:07	103.1	5	5	3	7
17:10:37	103.6	5	5	3	7
17:11:07	104.1	5	5	3	7
17:11:37	104.6	5	5	3	7
17:12:07	105.1	5	5	3	7
17:12:37	105.6	5	5	3	7
17:13:07	106.1	5	5	3	7
17:13:37	106.6	5	5	3	7
17:14:07	107.1	5	5	3	7
17:14:37	107.6	5	5	3	7
17:15:07	108.1	5	5	3	7
17:15:37	108.6	5	5	3	7
17:16:07	109.1	5	5	3	7
17:16:37	109.6	5	5	3	7
17:17:07	110.1	5	5	3	7
17:17:37	110.6	5	5	3	7
17:18:07	111.1	5	5	3	7
17:18:37	111.6	5	5	3	7
17:19:07	112.1	5	5	3	7
17:19:37	112.6	5	5	3	7
17:20:07	113.1	5	5	3	7
17:20:37	113.6	5	5	3	7
17:21:07	114.1	5	5	3	7
17:21:37	114.6	5	5	3	7
17:22:07	115.1	5	5	3	7
17:22:38	115.6	5	5	3	7
17:23:08	116.1	5	5	3	7
17:23:38	116.6	5	5	3	7
17:24:08	117.1	5	5	3	7
17:24:38	117.6	5	5	4	6
17:25:08	118.1	5	5	4	6
17:25:38	118.6	5	5	4	6
17:26:08	119.1	5	5	4	6
17:26:38	119.6	5	5	4	6
17:27:08	120.1	5	5	4	6
17:27:38	120.6	5	5	4	6
17:28:08	121.1	5	5	4	6
17:28:38	121.6	5	5	4	6
17:29:08	122.1	5	5	5	5
17:29:38	122.6	5	5	5	5
17:30:08	123.1	5	5	5	5
17:30:38	123.6	5	5	5	5
17:31:08	124.1	5	5	5	5
17:31:38	124.6	5	5	5	5
17:32:08	125.1	5	5	5	5
17:32:38	125.6	5	5	5	5
17:33:08	126.1	5	5	5	5
17:33:38	126.6	5	5	5	5
17:34:08	127.1	5	5	5	5
17:34:38	127.6	5	5	5	5
17:35:08	128.1	5	5	6	4
17:35:38	128.6	5	5	6	4
17:36:08	129.1	5	5	6	4
17:36:38	129.6	5	5	6	4
17:37:08	130.1	5	5	6	4
17:37:38	130.6	5	5	6	4
17:38:08	131.1	5	5	6	4
17:38:38	131.6	5	5	6	4
17:39:08	132.1	5	5	6	4
17:39:38	132.6	5	5	6	4
17:40:08	133.1	5	5	6	4
17:40:39	133.6	5	5	6	4
17:41:09	134.1	5	5	6	4
17:41:39	134.6	5	5	6	4
17:42:09	135.1	5	5	6	4
17:42:39	135.6	5	5	6	4
17:43:09	136.1	5	5	6	4
17:43:39	136.6	5	5	6	4
17:44:09	137.1	5	5	6	4
17:44:39	137.6	5	5	6	4
17:45:09	138.1	5	5	6	4
17:45:39	138.6	5	5	6	4
17:46:09	139.1	5	5	6	4
17:46:39	139.6	5	5	6	4
17:47:09	140.1	5	5	6	4
17:47:39	140.6	5	5	6	4
17:48:09	141.1	5	5	6	4
17:48:39	141.6	5	5	6	4
17:49:09	142.1	5	5	6	4
17:49:39	142.6	5	5	6	4
17:50:09	143.1	5	5	6	4
17:50:39	143.6	5	5	6	4
17:51:09	144.1	5	5	6	4
17:51:39	144.6	5	5	6	4
17:52:09	145.1	5	5	6	4
17:52:39	145.6	5	5	6	4
17:53:09	146.1	5	5	6	4
17:53:39	146.6	5	5	6	4
17:54:09	147.1	5	5	6	4
17:54:39	147.6	5	5	6	4
17:55:09	148.1	5	5	6	4
17:55:39	148.6	5	5	6	4
17:56:09	149.1	5	5	6	4
17:56:39	149.6	5	5	6	4
17:57:09	150.1	5	5	6	4
17:57:39	150.6	5	5	6	4
17:58:10	151.1	5	5	6	4
17:58:40	151.6	5	5	6	4
17:59:10	152.1	5	5	6	4
17:59:40	152.6	5	5	6	4
18:00:10	153.1	5	5	6	4
18:00:40	153.6	5	5	6	4
18:01:10	154.1	5	5	6	4
18:01:40	154.6	5	5	6	4
18:02:10	155.1	5	5	6	4
18:02:40	155.6	5	5	6	4
18:03:10	156.1	5	5	6	4
18:03:40	156.6	5	5	6	4
18:04:10	157.1	5	5	6	4
18:04:40	157.6	5	5	6	4
18:05:10	158.1	5	5	6	4
18:05:40	158.6	5	5	6	4
18:06:10	159.1	5	5	6	4
18:06:40	159.6	5	5	6	4
18:07:10	160.2	5	5	6	4
18:07:40	160.7	5	5	6	4
18:08:10	161.2	5	5	6	4
18:08:40	161.7	5	5	6	4
18:09:10	162.2	5	5	6	4
18:09:40	162.7	5	5	6	4
18:10:10	163.2	5	5	6	4
18:10:40	163.7	5	5	6	4
18:11:10	164.2	5	5	6	4
18:11:40	164.7	5	5	6	4
18:12:10	165.2	5	5	6	4
18:12:40	165.7	5	5	6	4
18:13:10	166.2	5	5	6	4
18:13:40	166.7	5	5	6	4
18:14:10	167.2	5	5	6	4
18:14:40	167.7	5	5	6	4
18:15:10	168.2	5	5	6	4
18:15:41	168.7	5	5	6	4
18:16:11	169.2	5	5	6	4
18:16:41	169.7	5	5	6	4
18:17:11	170.2	5	5	6	4
18:17:41	170.7	5	5	6	4
18:18:11	171.2	5	5	6	4
18:18:41	171.7	5	5	6	4
18:19:11	172.2	5	5	6	4
18:19:41	172.7	5	5	6	4
18:20:11	173.2	5	5	6	4
18:20:41	173.7	5	5	6	4
18:21:11	174.2	5	5	6	4
18:21:41	174.7	5	5	6	4
18:22:11	175.2	5	5	6	4
18:22:41	175.7	5	5	6	4
18:23:11	176.2	5	5	6	4
18:23:41	176.7	5	5	6	4
18:24:11	177.2	5	5	6	4
18:24:41	177.7	5	5	6	4
18:25:11	178.2	5	5	6	4
18:25:41	178.7	5	5	6	4
18:26:11	179.2	5	5	6	4
18:26:41	179.7	5	5	6	4
18:27:11	180.2	5	5	6	4
18:27:41	180.7	5	5	6	4
18:28:11	181.2	5	5	6	4
18:28:41	181.7	5	5	6	4
18:29:11	182.2	5	5	6	4
18:29:41	182.7	5	5	6	4
18:30:11	183.2	5	5	6	4
18:30:41	183.7	5	5	6	4
18:31:11	184.2	5	5	6	4
18:31:41	184.7	5	5	6	4
18:32:11	185.2	5	5	6	4
18:32:41	185.7	5	5	6	4
18:33:12	186.2	5	5	6	4
18:33:42	186.7	5	5	6	4
18:34:12	187.2	5	5	6	4
18:34:42	187.7	5	5	6	4
18:35:12	188.2	5	5	6	4
18:35:42	188.7	5	5	6	4
18:36:12	189.2	5	5	6	4
18:36:42	189.7	5	5	6	4
18:37:12	190.2	5	5	6	4
18:37:42	190.7	5	5	6	4
18:38:12	191.2	5	5	6	4
18:38:42	191.7	5	5	6	4
18:39:12	192.2	5	5	6	4
18:39:42	192.7	5	5	6	4
18:40:12	193.2	5	5	6	4
18:40:42	193.7	5	5	6	4
18:41:12	194.2	5	5	6	4
18:41:42	194.7	5	5	6	4
18:42:12	195.2	5	5	6	4
18:42:42	195.7	5	5	6	4
18:43:12	196.2	5	5	6	4
18:43:42	196.7	5	5	6	4
18:44:12	197.2	5	5	6	4
18:44:42	197.7	5	5	6	4
18:45:12	198.2	5	5	6	4
18:45:42	198.7	5	5	6	4
18:46:12	199.2	5	5	6	4
18:46:42	199.7	5	5	6	4
18:47:12	200.2	5	5	6	4
