time	elapsed_min	concurrency	active	done	queued
19:51:40	0.0	5	5	0	10
19:52:10	0.5	5	5	0	10
19:52:40	1.0	5	5	0	10
19:53:10	1.5	5	5	0	10
19:53:40	2.0	5	5	0	10
19:54:10	2.5	5	5	0	10
19:54:40	3.0	5	5	0	10
19:55:10	3.5	5	5	0	10
19:55:40	4.0	5	5	0	10
19:56:10	4.5	5	5	0	10
19:56:40	5.0	5	5	0	10
19:57:10	5.5	5	5	0	10
19:57:40	6.0	5	5	0	10
19:58:10	6.5	5	5	0	10
19:58:40	7.0	5	5	0	10
19:59:10	7.5	5	5	0	10
19:59:40	8.0	5	5	0	10
20:00:10	8.5	5	5	0	10
20:00:40	9.0	5	5	0	10
20:01:10	9.5	5	5	0	10
20:01:40	10.0	5	5	0	10
20:02:10	10.5	5	5	0	10
20:02:40	11.0	5	5	0	10
20:03:10	11.5	5	5	0	10
20:03:40	12.0	5	5	0	10
20:04:10	12.5	5	5	0	10
20:04:41	13.0	5	5	0	10
20:05:11	13.5	5	5	0	10
20:05:41	14.0	5	5	0	10
20:06:11	14.5	5	5	0	10
20:06:41	15.0	5	5	0	10
20:07:11	15.5	5	5	0	10
20:07:41	16.0	5	5	0	10
20:08:11	16.5	5	5	0	10
20:08:41	17.0	5	5	0	10
20:09:11	17.5	5	5	0	10
20:09:41	18.0	5	5	0	10
20:10:11	18.5	5	5	0	10
20:10:41	19.0	5	5	0	10
20:11:11	19.5	5	5	0	10
20:11:41	20.0	5	5	0	10
20:12:11	20.5	5	5	0	10
20:12:41	21.0	5	5	0	10
20:13:11	21.5	5	5	0	10
20:13:41	22.0	5	5	0	10
20:14:11	22.5	5	5	0	10
20:14:41	23.0	5	5	0	10
20:15:11	23.5	5	5	0	10
20:15:41	24.0	5	5	0	10
20:16:11	24.5	5	5	0	10
20:16:41	25.0	5	5	0	10
20:17:11	25.5	5	5	0	10
20:17:41	26.0	5	5	0	10
20:18:11	26.5	5	5	0	10
20:18:41	27.0	5	5	0	10
20:19:11	27.5	5	5	0	10
20:19:41	28.0	5	5	0	10
20:20:11	28.5	5	5	0	10
20:20:41	29.0	5	5	0	10
20:21:11	29.5	5	5	0	10
20:21:42	30.0	5	5	0	10
20:22:12	30.5	5	5	0	10
20:22:42	31.0	5	5	0	10
20:23:12	31.5	5	5	0	10
20:23:42	32.0	5	5	0	10
20:24:12	32.5	5	5	0	10
20:24:42	33.0	5	5	0	10
20:25:12	33.5	5	5	0	10
20:25:42	34.0	5	5	0	10
20:26:12	34.5	5	5	0	10
20:26:42	35.0	5	5	0	10
20:27:12	35.5	5	5	0	10
20:27:42	36.0	5	5	0	10
20:28:12	36.5	5	5	0	10
20:28:42	37.0	5	5	0	10
20:29:12	37.5	5	5	0	10
20:29:42	38.0	5	5	0	10
20:30:12	38.5	5	5	0	10
20:30:42	39.0	5	5	0	10
20:31:12	39.5	5	5	0	10
20:31:42	40.0	5	5	0	10
20:32:12	40.5	5	5	0	10
20:32:42	41.0	5	5	0	10
20:33:12	41.5	5	5	0	10
20:33:42	42.0	5	5	0	10
20:34:12	42.5	5	5	0	10
20:34:42	43.0	5	5	0	10
20:35:12	43.5	5	5	0	10
20:35:42	44.0	5	5	0	10
20:36:12	44.5	5	5	0	10
20:36:42	45.0	5	5	0	10
20:37:12	45.5	5	5	0	10
20:37:42	46.0	5	5	0	10
20:38:12	46.5	5	5	0	10
20:38:43	47.0	5	5	0	10
20:39:13	47.5	5	5	0	10
20:39:43	48.0	5	5	0	10
20:40:13	48.5	5	5	0	10
20:40:43	49.0	5	5	0	10
20:41:13	49.5	5	5	0	10
20:41:43	50.0	5	5	0	10
20:42:13	50.5	5	5	0	10
20:42:43	51.1	5	5	0	10
20:43:13	51.6	5	5	0	10
20:43:43	52.1	5	5	0	10
20:44:13	52.6	5	5	0	10
20:44:43	53.1	5	5	0	10
20:45:13	53.6	5	5	0	10
20:45:43	54.1	5	5	0	10
20:46:13	54.6	5	5	0	10
20:46:43	55.1	5	5	0	10
20:47:13	55.6	5	5	0	10
20:47:43	56.1	5	5	0	10
20:48:13	56.6	5	5	0	10
20:48:43	57.1	5	5	0	10
20:49:13	57.6	5	5	0	10
20:49:43	58.1	5	5	0	10
20:50:13	58.6	5	5	0	10
20:50:43	59.1	5	5	0	10
20:51:13	59.6	5	5	0	10
20:51:43	60.1	5	5	0	10
20:52:13	60.6	5	5	0	10
20:52:43	61.1	5	5	0	10
20:53:13	61.6	5	5	0	10
20:53:43	62.1	5	5	0	10
20:54:13	62.6	5	5	0	10
20:54:43	63.1	5	5	0	10
20:55:14	63.6	5	5	0	10
20:55:44	64.1	5	5	0	10
20:56:14	64.6	5	5	0	10
20:56:44	65.1	5	5	0	10
20:57:14	65.6	5	5	0	10
20:57:44	66.1	5	5	0	10
20:58:14	66.6	5	5	0	10
20:58:44	67.1	5	5	0	10
20:59:14	67.6	5	5	0	10
20:59:44	68.1	5	5	0	10
21:00:14	68.6	5	5	0	10
21:00:44	69.1	5	5	0	10
21:01:14	69.6	5	5	0	10
21:01:44	70.1	5	5	0	10
21:02:14	70.6	5	5	0	10
21:02:44	71.1	5	5	0	10
21:03:14	71.6	5	5	0	10
21:03:44	72.1	5	5	0	10
21:04:14	72.6	5	5	0	10
21:04:44	73.1	5	5	0	10
21:05:14	73.6	5	5	0	10
21:05:44	74.1	5	5	0	10
21:06:14	74.6	5	5	0	10
21:06:44	75.1	5	5	0	10
21:07:14	75.6	5	5	0	10
21:07:44	76.1	5	5	0	10
21:08:14	76.6	5	5	0	10
21:08:44	77.1	5	5	0	10
21:09:14	77.6	5	5	0	10
21:09:44	78.1	5	5	0	10
21:10:14	78.6	5	5	0	10
21:10:44	79.1	5	5	0	10
21:11:14	79.6	5	5	0	10
21:11:44	80.1	5	5	0	10
21:12:15	80.6	5	5	0	10
21:12:45	81.1	5	5	0	10
21:13:15	81.6	5	5	0	10
21:13:45	82.1	5	5	0	10
21:14:15	82.6	5	5	0	10
21:14:45	83.1	5	5	0	10
21:15:15	83.6	5	5	0	10
21:15:45	84.1	5	5	0	10
21:16:15	84.6	5	5	0	10
21:16:45	85.1	5	5	0	10
21:17:15	85.6	5	5	0	10
21:17:45	86.1	5	5	0	10
21:18:15	86.6	5	5	0	10
21:18:45	87.1	5	5	0	10
21:19:15	87.6	5	5	0	10
21:19:45	88.1	5	5	0	10
21:20:15	88.6	5	5	0	10
21:20:45	89.1	5	5	0	10
21:21:15	89.6	5	5	0	10
21:21:45	90.1	5	5	0	10
21:22:15	90.6	5	5	0	10
